"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","levelGroup","alias"
"1487e41","3522859","fc614c803a1c6826d3290dc2ba38424a","6ec37c6","Half-Orc","Charlatan",2020-03-13 11:56:20,"Bard 1","Bard",NA,1,NA,10,13,14,14,14,8,10,15,NA,"Sleight of Hand|Animal Handling|Insight|Deception|Intimidation|Performance","Rapier|Dagger","Vicious Mockery *0|Thunderclap *0|Dissonant Whispers *1|Earth Tremor *1|Sleep *1|Speak with Animals *1","Cha",NA,"Canada","CA",NA,NA,NA,"Half-Orc","Vicious Mockery*0|Thunderclap*0|Dissonant Whispers*1|Earth Tremor*1|Sleep*1|Speak with Animals*1","Rapier|Dagger","1-3","recursing_antonelli"
"fd29cbd","e4d0aea","8e13890bea41856fefa34795b03046de","1454e33","Wood Elf","Barbarian Tribe Member",2020-03-12 21:34:25,"Ranger 5","Ranger","Beast Master",5,NA,35,14,10,17,13,12,17,8,NA,"Athletics|Nature|Animal Handling|Insight|Perception|Survival","Shortsword|Longbow",NA,"Wis","fighting style/Archery","United States","US",NA,NA,NA,"Elf",NA,"Shortsword|Longbow","4-7","cool_goldberg"
"3459b51","89d6399","ed1e6068655fcda530349fbc8835b8f8","2be55cd","Human","Criminal",2020-03-12 21:07:05,"Monk 3","Monk","Way of the Open Hand",3,"Prodigy",24,16,12,16,14,12,16,11,NA,"Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception","Shortsword|Dart|Unarmed strike",NA,"Int","expertise/Athletics","Australia","AU",NA,NA,NA,"Human",NA,"Shortsword|Dart|Unarmed Strike","1-3","brave_booth"
"ff03742","a0b43ae","2bb3846c48c85aaee78aba00ce0275a8","3cdfe72","Hill Dwarf","Entertainer",2020-03-12 16:27:05,"Bard 1","Bard",NA,1,NA,11,13,8,14,15,13,10,15,NA,"Acrobatics|Arcana|Insight|Performance|Persuasion","Rapier|Dagger",NA,"Cha",NA,"Argentina","AR",NA,NA,NA,"Dwarf",NA,"Rapier|Dagger","1-3","eager_hodgkin"
"0cadb3a","758999a","89df7bf98f6d09c58edab7df1fe9fb8b",NA,"Tiefling","Criminal",2020-03-12 15:28:05,"Sorcerer 1","Sorcerer","Draconic Bloodline",1,NA,9,14,8,13,14,11,12,17,"Chaotic Nuetral","Stealth|Deception|Intimidation|Persuasion","Quarterstaff|Dagger","Firebolt*0|Prestidigitation*0|Ray Of Frost*0|Acid Splash*0|Chromatic Orb*1|Magic Missile*1","Cha",NA,"United Kingdom","GB","CN",NA,NA,"Tiefling","Fire Bolt*0|Prestidigitation*0|Ray of Frost*0|Acid Splash*0|Chromatic Orb*1|Magic Missile*1","Quarterstaff|Dagger","1-3",NA
"0cadb3a","758999a","3363f991942812a2d1f3c0484f0c1b74","34e6266","Wood Elf","Hermit",2020-03-12 15:09:32,"Monk 1","Monk",NA,1,NA,9,15,10,17,13,8,15,12,"CG","Acrobatics|Religion|Insight|Medicine|Perception","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"United Kingdom","GB","CG",NA,NA,"Elf",NA,"Shortsword|Dart|Unarmed Strike","1-3","sad_leavitt"
"08976b2","997a516","b622e27526cc5c6a45ebf0998cffc61d","2f78c38","Kenku","Acolyte",2020-03-12 12:55:59,"Monk 1","Monk",NA,1,NA,9,15,12,17,13,10,14,10,NA,"Acrobatics|Stealth|History|Religion|Insight|Deception","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"United Kingdom","GB",NA,NA,NA,"Kenku",NA,"Quarterstaff|Dart|Unarmed Strike","1-3","upbeat_germain"
"5e9603b","7f0c607","8fd13dc292c5f94f9a32d11e89c18d44","fa2f915","Orc","Soldier",2020-03-12 11:58:34,"Fighter 2","Fighter",NA,2,NA,20,16,19,14,15,11,6,9,NA,"Athletics|Acrobatics|Insight|Perception|Survival|Intimidation","Flail|Shortsword|Crossbow, light",NA,"Int","fighting style/Two-Weapon Fighting","United States","US",NA,NA,NA,"Orc",NA,"Flail|Shortsword|Crossbow, Light","1-3","crazy_curie"
"5e9603b","7f0c607","a663441bc8485e1ebb98bd3f1816786b","2e9ee5c","Bugbear","Acolyte",2020-03-12 11:56:29,"Wizard 2","Wizard","School of Enchantment",2,NA,8,12,15,14,9,16,13,8,NA,"Stealth|Arcana|Religion|Insight|Medicine","Quarterstaff",NA,"Int",NA,"United States","US",NA,NA,NA,"Bugbear",NA,"Quarterstaff","1-3","serene_mayer"
"50d7c8d","758999a","7f1b8b9e0000a877f162e899ce12bf29","4981cd6","Forest Gnome","Sage",2020-03-12 07:55:28,"Wizard 3","Wizard","School of Divination",3,NA,21,13,9,16,12,18,12,9,NA,"Arcana|History|Investigation|Religion","Dagger",NA,"Int",NA,"United Kingdom","GB",NA,NA,NA,"Gnome",NA,"Dagger","1-3","wizardly_nash"
NA,NA,"3c39d9e06491fee27d52d43462fd8dbc","d584807","Warforged","Entertainer",2020-03-11 20:36:25,"Paladin 2|Bard 6","Paladin|Bard","|College of Swords",8,NA,62,20,16,8,14,10,10,18,NA,"Athletics|Acrobatics|History|Insight|Performance|Persuasion","Battleaxe|Javelin|Unarmed strike|Scimitar|Bob Larry Slam","Vicious Mockery*0|Mending*0|Message*0|Bless*1|Ceremony*1|Command*1|Compelled Duel*1|Cure Wounds*1|Detect Evil And Good*1|Detect Magic*1|Detect Poison And Disease*1|Divine Favor*1|Heroism*1|Protection From Evil And Good*1|Searing Smite*1|Thunderous Smite*1|Wrathful Smite*1|Shield Of Faith*1|Purify Food And Drink*1|Healing Word*1|Feather Fall*1|Dissonant Whispers*1|Tasha's Hideous Laughter*1|Zone Of Truth*2|Warding Wind*2|Phantasmal Force*2|Tongues*3|Enemies Abound*3","Cha","fighting style/Protection*Dueling|expertise/Insight*History","Canada","CA",NA,NA,NA,"Warforged","Vicious Mockery*0|Mending*0|Message*0|Bless*1|Ceremony*1|Command*1|Compelled Duel*1|Cure Wounds*1|Detect Evil and Good*1|Detect Magic*1|Detect Poison and Disease*1|Divine Favor*1|Heroism*1|Protection from Evil and Good*1|Searing Smite*1|Thunderous Smite*1|Wrathful Smite*1|Shield of Faith*1|Purify Food and Drink*1|Healing Word*1|Feather Fall*1|Dissonant Whispers*1|Tasha's Hideous Laughter*1|Zone of Truth*2|Warding Wind*2|Phantasmal Force*2|Tongues*3|Enemies Abound*3","Battleaxe|Javelin|Unarmed Strike|Scimitar|","8-11","bold_napier"
"d307113",NA,"f5600246a406e1dd1c00c0c8c96c3571","05528fb","Human","Criminal",2020-03-11 20:36:06,"Fighter 1","Fighter",NA,1,"Crossbow Expert",13,14,8,16,16,13,10,10,NA,"Acrobatics|Stealth|Insight|Perception|Deception","Longbow|Crossbow, hand|Rapier|Handaxe",NA,"Int","fighting style/Archery","Canada","CA",NA,NA,NA,"Human",NA,"Longbow|Crossbow, hand|Rapier|Handaxe","1-3","cocky_jepsen"
NA,NA,"96032d12cdb399e1b087f41f023f231c","671aa06","Hill Dwarf","Sailor",2020-03-11 18:32:00,"Monk 1","Monk",NA,1,NA,8,14,12,15,15,10,15,8,NA,"Athletics|Acrobatics|Insight|Perception","Spear|Dart|Unarmed strike",NA,"Int",NA,"Canada","CA",NA,NA,NA,"Dwarf",NA,"Spear|Dart|Unarmed Strike","1-3","nifty_ishizaka"
"3459b51","89d6399","4f0da363c52d2bfc16ae6e536fd4ab65","5d454b7","Wood Elf","Outlander",2020-03-11 17:46:20,"Ranger 4","Ranger","Hunter",4,"Sharpshooter",22,15,8,16,10,14,16,10,NA,"Acrobatics|Stealth|Investigation|Animal Handling|Perception|Survival","Shortsword|Longbow","Hunters Mark*1|Cure Wounds*1|Animal Friendship*1","Wis","fighting style/Archery","Australia","AU",NA,NA,NA,"Elf","Hunter's Mark*1|Cure Wounds*1|Animal Friendship*1","Shortsword|Longbow","4-7","laughing_wing"
"3459b51","89d6399","8bd5efc5866c823216a00358918ae5b6","43c0e37","Tiefling","Cloistered Scholar",2020-03-11 17:46:06,"Warlock 4","Warlock","The Fiend",4,"Spell Sniper",21,11,10,10,12,14,14,16,NA,"Arcana|History|Deception|Intimidation","Crossbow, light|Quarterstaff|Dagger","Eldritch Blast*0|Mage Hand*0|Prestidigitation*0|Thaumaturgy*0|Hex*1|Burning Hands*1|Hellish Rebuke*1|Find Familiar*1|Scorching Ray*2|Blindness/Deafness*2","Cha","pact boon/Pact of the Chain|eldritch invocations/Agonizing Blast*Voice of the Chain Master","Australia","AU",NA,NA,NA,"Tiefling","Eldritch Blast*0|Mage Hand*0|Prestidigitation*0|Thaumaturgy*0|Hex*1|Burning Hands*1|Hellish Rebuke*1|Find Familiar*1|Scorching Ray*2|Blindness/Deafness*2","Crossbow, Light|Quarterstaff|Dagger","4-7","objective_bell"
"3459b51","89d6399","cbe104565d5a8144c595d9be2ee6936b","b5e4769","Human","Folk Hero",2020-03-11 17:45:54,"Fighter 4","Fighter","Champion",4,"Dual Wielder",28,17,16,14,14,11,10,14,NA,"Athletics|Animal Handling|Survival|Intimidation","Longsword|Longsword|Handaxe",NA,"Int","fighting style/Two-Weapon Fighting","Australia","AU",NA,NA,NA,"Human",NA,"Longsword|Longsword|Handaxe","4-7","focused_nightingale"
"3459b51","89d6399","bfa84f6975764d99a2422f509d95e72f","c1bd342","Half-Orc","Outlander",2020-03-11 17:45:40,"Barbarian 4","Barbarian","Path of the Berserker",4,"Sentinel",35,15,16,14,16,8,12,8,NA,"Athletics|Animal Handling|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"Australia","AU",NA,NA,NA,"Half-Orc",NA,"Greataxe|Handaxe|Javelin","4-7","agitated_hamilton"
"3459b51","89d6399","16cc417de79029bb831bd843b5dd8783","7ad6321","Stout Halfling","Criminal",2020-03-11 17:45:27,"Rogue 4","Rogue","Scout",4,"Crossbow Expert",24,14,8,16,14,14,12,12,NA,"Acrobatics|Sleight of Hand|Stealth|Investigation|Nature|Perception|Survival|Deception","Shortsword|Dagger|Crossbow, hand",NA,"Int","expertise/Thieves' Tools*Stealth","Australia","AU",NA,NA,NA,"Halfling",NA,"Shortsword|Dagger|Crossbow, hand","4-7","amazing_shtern"
"3459b51","89d6399","db1869bf715f138d60d5179f83f3f1a0","d81e93a","Half-Elf","Entertainer",2020-03-11 17:45:14,"Bard 4","Bard","College of Lore",4,"Lucky",24,13,10,14,14,12,12,16,NA,"Acrobatics|Arcana|Investigation|Insight|Perception|Deception|Intimidation|Performance|Persuasion","Quarterstaff|Dagger","Vicious Mockery*0|Minor Illusion*0|Charm Person*1|Dissonant Whispers*1|Heroism*1|Tasha's Hideous Laughter*1|Shatter*2|Suggestion*2","Cha","expertise/Persuasion*Deception","Australia","AU",NA,NA,NA,"Half-Elf","Vicious Mockery*0|Minor Illusion*0|Charm Person*1|Dissonant Whispers*1|Heroism*1|Tasha's Hideous Laughter*1|Shatter*2|Suggestion*2","Quarterstaff|Dagger","4-7","suspicious_bardeen"
"3459b51","89d6399","97920e73cbda45eb74ffa2540263bd70","ff2788d","Dragonborn","Soldier",2020-03-11 17:45:03,"Paladin 4","Paladin","Oath of Ancients",4,"Shield Master",28,19,16,8,14,12,12,14,NA,"Athletics|Religion|Intimidation|Persuasion","Warhammer|Javelin","Ensnaring Strike*1|Speak with Animals*1|Compelled Duel*1|Thunderous Smite*1|Shield Of Faith*1","Cha","fighting style/Defense","Australia","AU",NA,NA,NA,"Dragonborn","Ensnaring Strike*1|Speak with Animals*1|Compelled Duel*1|Thunderous Smite*1|Shield of Faith*1","Warhammer|Javelin","4-7","tender_hypatia"
"0d0db75","dfcbcb5","91fc4aa45ee5a3ba7c897bd60420e30a","1647c51","Half-Elf","Urchin",2020-03-11 17:12:38,"Fighter 4","Fighter","Battle Master",4,NA,26,16,10,18,10,14,14,12,NA,"Athletics|Acrobatics|Investigation|Insight|Perception|Persuasion","Rapier|Target Pistol|Target Pistol|Club (Pistol Whip)|Grenade X3",NA,"Dex","combat superiority maneuvers/Precision Attack*Menacing Attack*Disarming Attack|fighting style/Archery","United States","US",NA,NA,NA,"Half-Elf",NA,"Rapier|||Club|","4-7","angry_hodgkin"
"0d0db75","dfcbcb5","69224c95bc79024e13f91bc48bf4c672","d8cc49a","Wood Elf","Acolyte",2020-03-11 16:50:39,"Monk 4","Monk","Way of the Drunken Master",4,NA,27,17,10,18,12,10,16,11,NA,"Acrobatics|Stealth|Religion|Insight|Perception|Performance","Unarmed Strike|Quarterstaff|2h Quarterstaff|Dagger|Longbow",NA,"Int",NA,"United States","US",NA,NA,NA,"Elf",NA,"Unarmed Strike|Quarterstaff|Quarterstaff|Dagger|Longbow","4-7","silly_matsumoto"
"d372c90","e4d0aea","73ee78989d639f2437b41024ec1686d1","e766c79","Lightfoot Halfling","Sage",2020-03-11 10:22:02,"Bard 12","Bard","College of Lore",12,"Lucky|Actor",108,17,13,18,16,14,14,20,NA,"Acrobatics|Arcana|History|Perception|Deception|Intimidation|Performance|Persuasion","Rapier|Dagger",NA,"Cha","expertise/Perception*Deception","United States","US",NA,NA,NA,"Halfling",NA,"Rapier|Dagger","12-15","hopeful_johnson"
"1c13f68","3ee0d4c","6af0c50ea467cdaf9dbd386299cac1bc","e3b573e","Human","Sailor",2020-03-11 07:44:33,"Barbarian 5","Barbarian","Path of the Storm Herald",5,"Great Weapon Master|Alert",80,20,18,15,18,12,16,12,"Neutral Good","Athletics|Perception|Survival|Intimidation","Tethered Anchor Flail|Handaxe|Whaling Spear",NA,"Int",NA,"Japan","JP","NG",NA,NA,"Human",NA,"Flail|Handaxe|Spear","4-7","sweet_wu"
"10e5ffa","eb72d80","1f372ce0765543da15277ec64e9c4633","a9eb952","Lightfoot Halfling","Charlatan",2020-03-10 19:47:07,"Rogue 5","Rogue","Mastermind",5,NA,30,14,8,16,10,10,14,18,NA,"Sleight of Hand|Insight|Perception|Deception|Intimidation|Persuasion","Shortsword|Shortbow|Dagger",NA,"Int","expertise/Persuasion*Intimidation","Canada","CA",NA,NA,NA,"Halfling",NA,"Shortsword|Shortbow|Dagger","4-7","modest_noyce"
"34c85c5","ee77547","3e779685b91f19bbbae85686266539a5","dcff15d","Protector Aasimar","Acolyte",2020-03-10 19:46:14,"Warlock 5","Warlock","The Hexblade",5,NA,38,15,10,12,14,10,14,18,NA,"Investigation|Religion|Insight|Deception|Intimidation|Persuasion","Pact Long Bow|Pact Longsword","Minor Illusion*0|Mage Hand*0|Elritch Blast*0|Eldritch Smite*2|Shield*3|Wraithful Smite*3|Blur*3|Branding Smite*3|Blink*3|Elemental Weapon*3|Hex*3|Witch Bolt*3|Unseen Servant <U+00AE>*3|Invisibility*3|Suggestion*3|Vampiric Touch*3","Cha","pact boon/Pact of the Blade|eldritch invocations/Improved Pact Weapon*Eldritch Smite*Thirsting Blade","Canada","CA",NA,NA,NA,"Aasimar","Minor Illusion*0|Mage Hand*0|Eldritch Blast*0|*|*|*|*|*|Blink*3|Elemental Weapon*3|*|*|*|*|*|Vampiric Touch*3","|Longsword","4-7","optimistic_banach"
NA,"5f65f48","e6ce5451ffc9e8787285b90c09ae6fce","709ffe0","Eladrin ToF","Charlatan",2020-03-10 19:03:23,"Rogue 7","Rogue","Assassin",7,NA,55,16,10,18,10,15,10,14,NA,"Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation|Persuasion","Rapier|Shortbow|Dagger|Crossbow, Hand|Ice Tongue",NA,"Int","expertise/Stealth*Sleight of Hand*Perception*Intimidation","Canada","CA",NA,NA,NA,"Eladrin",NA,"Rapier|Shortbow|Dagger|Crossbow, hand|","4-7","tender_kare"
NA,"586b422","17bfa8550d1a604b97efd8b403553932","c498a10","Human","Faction Agent",2020-03-10 15:29:44,"Fighter 4","Fighter","Battle Master",4,"Polearm Master|Sentinel",40,16,16,14,16,8,10,8,NA,"Athletics|Acrobatics|History|Insight|Perception","Pike|Longsword|Handaxe",NA,"Int","fighting style/Great Weapon Fighting|combat superiority maneuvers/Trip Attack*Precision Attack*Commander<U+FFFD>s Strike","Canada","CA",NA,NA,NA,"Human",NA,"Pike|Longsword|Handaxe","4-7","silly_grothendieck"
NA,"586b422","301814b8c0bb92721399222c534b570d","892f362","Tabaxi","Noble",2020-03-10 15:29:18,"Monk 6","Monk","Way of the Open Hand",6,"Mobile",45,19,8,18,14,10,16,9,NA,"Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Persuasion","Shortsword|Dart|Unarmed strike|Longsword",NA,"Wis",NA,"Canada","CA",NA,NA,NA,"Tabaxi",NA,"Shortsword|Dart|Unarmed Strike|Longsword","4-7","vibrant_northcutt"
"1487e41","3522859","bb326b3d3df06d91a006edaab7f5f4bb","433b7f9","Minotaur","Courtier",2020-03-10 15:21:11,"Bard 3|Warlock 3","Bard|Warlock","College of Glamour|The Archfey",6,NA,45,13,10,14,14,12,10,16,NA,"Sleight of Hand|Stealth|History|Insight|Deception|Performance|Persuasion","Club|Dagger|Shillelagh Flute","Message Bard*0|Vicious Mockery Bard*0|Toll The Dead Warlock*0|Friends Warlock *0|Druidcraft Tome*0|Guidance Tome *0|Shillelagh Tome *0|Bard Know 6 4L1 4slots*1|Dissonant Whispers *1|Heroism*1|Detect Magic*1|Comprehend Languages *1|Warlock Know 6 4L1 2L2*1|Charm Person*1|Hellish Rebuke *1|Protection From EvilandGood *1|Sleep *1|Bard Know 6 2L2 2 Slots*2|Crown Of Madness*2|Calm Emotions *2|Warlock 2 Slots Total*2|Hold Person*2|Suggestion *2","Cha","pact boon/Pact of the Tome|eldritch invocations/Beguiling Influence|expertise/Persuasion*Performance","Canada","CA",NA,NA,NA,"Minotaur","Message*0|Vicious Mockery*0|Toll the Dead*0|*|Druidcraft*0|Guidance*0|Shillelagh*0|*|Dissonant Whispers*1|Heroism*1|Detect Magic*1|Comprehend Languages*1|*|Charm Person*1|Hellish Rebuke*1|Protection from Evil and Good*1|Sleep*1|*|Crown of Madness*2|Calm Emotions*2|*|Hold Person*2|Suggestion*2","Club|Dagger|","4-7","distracted_mendel"
"1487e41","3522859","5685dde9fd610274669b90ecbfd51452","2b164b3","Fire Genasi","Far Traveler",2020-03-10 14:56:58,"Sorcerer 4","Sorcerer","Wild Magic",4,NA,30,10,8,10,16,14,14,15,NA,"Arcana|Insight|Perception|Intimidation","Crossbow, light|Dagger","Produce Flame*0|Control Flames*0|Create Bonfire *0|Fire Bolt *0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Cha","metamagic/Empowered Spell*Distant Spell","Canada","CA",NA,NA,NA,"Genasi","Produce Flame*0|Control Flames*0|Create Bonfire*0|Fire Bolt*0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Crossbow, Light|Dagger","4-7","admiring_banach"
"1487e41","3522859","5e11f1ec1444e001cb9189cf930c8f67","c047799","Fire Genasi","Far Traveler",2020-03-10 14:56:11,"Sorcerer 4","Sorcerer","Wild Magic",4,NA,30,11,8,12,16,14,12,15,NA,"Arcana|Insight|Perception|Intimidation","Crossbow, light|Dagger","Produce Flame*0|Control Flames*0|Create Bonfire *0|Fire Bolt *0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Cha","metamagic/Empowered Spell*Distant Spell","Canada","CA",NA,NA,NA,"Genasi","Produce Flame*0|Control Flames*0|Create Bonfire*0|Fire Bolt*0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Crossbow, Light|Dagger","4-7","agitated_lumiere"
"1487e41","3522859","b422fcf3568a59ea84de8b77dd169198","c6806c7","Fire Genasi","Far Traveler",2020-03-10 14:55:18,"Sorcerer 4","Sorcerer","Wild Magic",4,NA,30,10,8,10,16,14,13,16,NA,"Arcana|Insight|Perception|Intimidation","Crossbow, light|Dagger","Produce Flame*0|Control Flames*0|Create Bonfire *0|Fire Bolt *0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Cha","metamagic/Empowered Spell*Distant Spell","Canada","CA",NA,NA,NA,"Genasi","Produce Flame*0|Control Flames*0|Create Bonfire*0|Fire Bolt*0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Crossbow, Light|Dagger","4-7","charming_wescoff"
"1487e41","3522859","634141a2a7c2d6d8b64dfbbeabd461c8","3412758","Fire Genasi","Far Traveler",2020-03-10 14:54:17,"Sorcerer 4","Sorcerer","Wild Magic",4,"Actor",30,10,8,10,16,14,12,16,NA,"Arcana|Insight|Perception|Intimidation","Crossbow, light|Dagger","Produce Flame*0|Control Flames*0|Create Bonfire *0|Fire Bolt *0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Cha","metamagic/Empowered Spell*Distant Spell","Canada","CA",NA,NA,NA,"Genasi","Produce Flame*0|Control Flames*0|Create Bonfire*0|Fire Bolt*0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Crossbow, Light|Dagger","4-7","pensive_lichterman"
