Class_ID,Class_Name,Ability,HP,Training,subclass,Proficiency
,Paladin,Insight,46,Crime,Oath of Devotion,Medium Armor
,Warlock,Streetwise,31,Stronghold,The Fiend,Tough
,Warlock,Endurance,24,Research,The Fiend,Crossbow Expert
,Rogue,Religion,24,Relaxation,Thief,Mobile
,Monk,Heal,24,Religious Service,Way of the Open Hand,War Caster
,Sorcerer,Thievery,23,Stronghold,Wild Magic,Polearm Master
,Ranger,Stealth,67,Relaxation,Horizon Walker,Resilient
,Fighter,Endurance,50,Scribing a Spell Scroll,Arcane Archer,Tough
,Fighter,Athletics,34,Research,Arcane Archer,Sentinel
,Druid,Arcana,83,Language,Circle of the Shepherd,Lucky
,Cleric,Religion,38,Stronghold,Life Domain,Medium Armor
,Paladin,Athletics,28,Relaxation,Oath of the Crown,Shield Master
,Bard,Diplomacy,45,Pit Fighting,College of Glamour,Observent
,Bard,Athletics,45,Tool,College of Lore,Prodigy
,Bard,Heal,24,Religious Service,College of Glamour,Shield Master
,Sorcerer,Diplomacy,24,Language,Divine Soul,Resilient
,Cleric,Endurance,45,Scribing a Spell Scroll,Life Domain,Polearm Master
,Sorcerer,Streetwise,36,Crime,Divine Soul,Defensive Duelist
,Cleric,Athletics,80,Scribing a Spell Scroll,Arcana Domain,Dual Wielder
,Bard,Stealth,45,Sowing Rumors,College of Lore,Defensive Duelist
,Barbarian,Insight,27,Carousing,Path of the Zealot,Defensive Duelist
,Ranger,Endurance,30,Buying a Magic Item,Beast Master,Defensive Duelist
,Barbarian,Nature,41,Crafting an Item,Path of the Totem Warrior,Tough
,Ranger,Athletics,53,Scribing a Spell Scroll,Horizon Walker,Actor
,Druid,Arcana,9,Research,,Medium Armor
,Monk,Diplomacy,10,Crime,,Shield Master
,Bard,Thievery,8,Sowing Rumors,,War Caster
,Fighter,Athletics,47,Scribing a Spell Scroll,Battle Master,Medium Armor
,Monk,Stealth,37,Crime,Way of the Open Hand,Elven Accuracy
,Monk,Insight,23,Work,Way of the Open Hand,Sharpshooter
,Rogue,Endurance,9,Scribing a Spell Scroll,,War Caster
,Rogue,Stealth,9,Carousing,,War Caster
,Rogue,Diplomacy,21,Buying a Magic Item,Thief,Lucky
,Barbarian,Athletics,13,Relaxation,,Prodigy
,Bard,Nature,31,Religious Service,College of Glamour,Shield Master
,Fighter,Diplomacy,14,Relaxation,,Actor
,Rogue,Endurance,37,Sacred Rites,Mastermind,Elven Accuracy
,Rogue,Thievery,39,Religious Service,Swashbuckler,Alert
,Warlock,Intimidate,31,Language,The Hexblade,Spell Sniper
,Cleric,Dungeoneering,35,Crime,Grave Domain,Mobile
,Revised Ranger,Diplomacy,40,Tool,Deep Stalker Conclave,Prodigy
,Barbarian,Nature,49,Tool,Path of the Storm Herald,Elven Accuracy
,Paladin,Endurance,56,Research,Oath of Ancients,Sentinel
,Barbarian,Arcana,6,Pit Fighting,,Mobile
,Monk|Rogue,Insight,26,Selling a Magic Item,|,Resilient
,Fighter,Insight,13,Carousing,,Sentinel
,Paladin,Bluff,18,Crime,,Shield Master
,Rogue,Endurance,10,Carousing,,Observent
,Cleric,Streetwise,16,Selling a Magic Item,Light Domain,Dual Wielder
,Barbarian,Diplomacy,27,Gambling,,Great Weapon Master
,Druid,Stealth,14,Gambling,Circle of the Moon,Medium Armor
,Fighter,Dungeoneering,95,Tool,Champion,Sharpshooter
,Monk,Bluff,89,Tool,Way of the Long Death,Lucky
,Warlock,Heal,14,Language,The Celestial,Shield Master
,Wizard,Arcana,37,Stronghold,School of Evocation,Defensive Duelist
,Wizard,Bluff,37,Buying a Magic Item,School of Evocation,Prodigy
,Ranger,Diplomacy,92,Religious Service,Gloom Stalker,Observent
,Monk,Dungeoneering,64,Tool,Way of Shadow,Elven Accuracy
,Ranger,Streetwise,36,Sacred Rites,Beast Master,Actor
,Cleric,Endurance,39,Religious Service,Life Domain,Spell Sniper
,Monk,Arcana,89,Research,Way of the Long Death,Shield Master
,Ranger,Dungeoneering,11,Relaxation,,Medium Armor
,Barbarian,Thievery,15,Stronghold,,Observent
,Wizard|Bard|Barbarian|Cleric|Fighter|Ranger|Monk|Paladin|Druid|Rogue|Sorcerer|Warlock,Heal,84,Religious Service,|||Knowledge Domain|||||||Wild Magic|The Great Old One,Polearm Master
,Bard,Insight,31,Scribing a Spell Scroll,College of Swords,Sharpshooter
,Fighter,Bluff,46,Carousing,Champion,Defensive Duelist
,Fighter,Insight,46,Crafting an Item,Champion,Alert
,Artificer,Insight,56,Work,Alchemist,Crossbow Expert
,Paladin,Religion,13,Selling a Magic Item,,Elven Accuracy
,Ranger,Endurance,33,Pit Fighting,Beast Master,Actor
,Cleric,Dungeoneering,30,Sowing Rumors,Death Domain,Dual Wielder
,Cleric,Streetwise,36,Buying a Magic Item,War Domain,Lucky
,Barbarian,Intimidate,54,Language,Path of the Totem Warrior,War Caster
,Monk,Arcana,25,Gambling,Way of Shadow,Tough
,Warlock,Arcana,88,Selling a Magic Item,The Undying,Lucky
,Fighter,Arcana,56,Scribing a Spell Scroll,Battle Master,Shield Master
,Barbarian,Heal,62,Sowing Rumors,Path of the Zealot,Alert
,Wizard,Thievery,24,Work,School of Divination,Sharpshooter
,Paladin,Diplomacy,60,Pit Fighting,Oath of Conquest,Sentinel
,Fighter|Wizard,Nature,38,Research,Eldritch Knight|,War Caster
,Rogue,Athletics,11,Language,,Polearm Master
,Rogue,Stealth,24,Carousing,Assassin,Actor
,Rogue,Dungeoneering,17,Buying a Magic Item,,Observent
,Paladin|Sorcerer,Endurance,58,Religious Service,Oath of Vengeance|Divine Soul,Spell Sniper
,Druid,Bluff,38,Sowing Rumors,Circle of the Moon,Actor
,Druid,Insight,38,Religious Service,Circle of the Moon,Crossbow Expert
,Paladin,Stealth,56,Research,Oath of Ancients,Actor
,Sorcerer|Warlock,Religion,34,Sacred Rites,Shadow Magic|The Archfey,Actor
,Cleric,Insight,31,Pit Fighting,Life Domain,Observent
,Monk,Endurance,16,Gambling,,Elven Accuracy
,Monk,Diplomacy,23,Language,Way of Shadow,War Caster
,Cleric,Religion,24,Sowing Rumors,Order Domain,Alert
,Rogue,Stealth,24,Language,Thief,Spell Sniper
,Barbarian,Religion,32,Scribing a Spell Scroll,Path of the Berserker,Medium Armor
,Ranger,Endurance,60,Gambling,Beast Master,Crossbow Expert
,Paladin,Diplomacy,84,Gambling,Oath of Vengeance,Dual Wielder
,Druid,Nature,17,Stronghold,Circle of Spores,Actor
,Paladin,Bluff,24,Gambling,,Crossbow Expert
,Cleric,Streetwise,67,Stronghold,Life Domain,War Caster
,Rogue,Dungeoneering,71,Language,Scout,Sharpshooter
,Sorcerer,Streetwise,5,Selling a Magic Item,Wild Magic,Prodigy
,Cleric,Arcana,59,Buying a Magic Item,Death Domain,Shield Master
,Artificer,Dungeoneering,113,Work,Artillerist,Elven Accuracy
,Wizard,Nature,21,Crafting an Item,School of Conjuration,Great Weapon Master
,Fighter|Druid,Endurance,138,Pit Fighting,Battle Master|,Resilient
,Ranger|Fighter,Athletics,68,Tool,Hunter|Battle Master,Crossbow Expert
,Rogue,Bluff,7,Religious Service,,Great Weapon Master
,Paladin,Diplomacy,44,Language,Oath of Devotion,Lucky
,Monk|Rogue,Thievery,59,Religious Service,Way of Shadow|,Crossbow Expert
,Fighter|Warlock,Bluff,62,Language,|The Great Old One,Sharpshooter
,Rogue|Warlock,Heal,153,Tool,Mastermind|The Fiend,Alert
,Druid,Religion,10,Religious Service,,Alert
,Wizard,Streetwise,37,Work,School of Evocation,Dual Wielder
,Wizard,Athletics,37,Pit Fighting,School of Evocation,Shield Master
,Wizard,Dungeoneering,37,Religious Service,School of Evocation,Defensive Duelist
,Rogue|Fighter,Stealth,49,Sowing Rumors,Mastermind|,Shield Master
,Rogue|Fighter,Streetwise,49,Stronghold,Mastermind|,Elven Accuracy
,Cleric,Streetwise,13,Work,War Domain,Alert
,Rogue,Endurance,18,Research,Assassin,Sentinel
,Cleric,Arcana,9,Language,Grave Domain,War Caster
,Warlock,Religion,88,Crafting an Item,The Great Old One,Tough
,Artificer,Intimidate,10,Pit Fighting,,Prodigy
,Bard,Diplomacy,9,Pit Fighting,,Medium Armor
,Druid,Thievery,9,Crime,,Medium Armor
,Paladin,Endurance,11,Religious Service,,Great Weapon Master
,Warlock,Nature,10,Crime,The Hexblade,Lucky
,Wizard,Bluff,8,Relaxation,,Tough
,Sorcerer,Diplomacy,8,Stronghold,Draconic Bloodline,Resilient
,Paladin|Bard,Thievery,55,Crime,|College of Swords,Defensive Duelist
,Wizard,Religion,13,Scribing a Spell Scroll,School of Conjuration,Sharpshooter
,Barbarian,Endurance,108,Work,Path of the Berserker,Mobile
,Barbarian,Heal,19,Sowing Rumors,,Elven Accuracy
,Revised Ranger,Arcana,40,Research,Beast Conclave,Spell Sniper
,Rogue,Arcana,34,Carousing,Inquisitive,Defensive Duelist
,Fighter,Streetwise,40,Crime,Eldritch Knight,Dual Wielder
,Revised Ranger,Arcana,40,Sacred Rites,Beast Conclave,Spell Sniper
,Druid,Diplomacy,10,Research,,Medium Armor
,Druid,Intimidate,10,Pit Fighting,,Spell Sniper
,Paladin,Streetwise,22,Tool,,Defensive Duelist
,Sorcerer,Insight,19,Language,Shadow Magic,War Caster
,Sorcerer,Stealth,19,Research,Shadow Magic,Spell Sniper
,Paladin|Bard,Intimidate,62,Carousing,|College of Swords,Crossbow Expert
,Paladin,Nature,36,Crime,Oath of Devotion,Alert
,Cleric,Dungeoneering,31,Scribing a Spell Scroll,Light Domain,Shield Master
,Fighter,Insight,11,Pit Fighting,,Shield Master
,Fighter|Paladin,Religion,58,Tool,Eldritch Knight|,Sharpshooter
,Ranger,Bluff,11,Research,,Medium Armor
,Wizard|Rogue,Endurance,27,Research,School of Evocation|,Crossbow Expert
,Sorcerer,Diplomacy,8,Pit Fighting,Shadow Magic,Actor
,Rogue|Fighter|Ranger,Dungeoneering,85,Language,|Battle Master|Gloom Stalker,Lucky
,Druid,Dungeoneering,45,Gambling,Circle of the Moon,Shield Master
,Barbarian,Arcana,60,Research,Path of the Battlerager,Tough
,Sorcerer,Athletics,51,Gambling,Storm Sorcery,Observent
,Warlock|Sorcerer,Bluff,66,Carousing,The Celestial|Divine Soul,Actor
,Sorcerer,Bluff,8,Crafting an Item,Shadow Magic,Dual Wielder
,Rogue,Heal,38,Language,Swashbuckler,Tough
,Fighter,Diplomacy,66,Selling a Magic Item,Champion,Prodigy
,Barbarian,Athletics,38,Gambling,Path of the Zealot,Elven Accuracy
,Rogue,Religion,27,Sowing Rumors,Swashbuckler,Spell Sniper
,Druid,Thievery,27,Crafting an Item,Circle of Dreams,Shield Master
,Revised Ranger,Nature,31,Work,Deep Stalker Conclave,Crossbow Expert
,Druid,Nature,24,Sowing Rumors,Circle of Spores,Resilient
,Bard,Religion,33,Sowing Rumors,College of Glamour,Shield Master
,Ranger,Athletics,54,Relaxation,Gloom Stalker,Shield Master
,Rogue,Athletics,26,Religious Service,Scout,Sentinel
,Rogue,Bluff,12,Sowing Rumors,,War Caster
,Barbarian,Thievery,49,Scribing a Spell Scroll,Path of the Berserker,Dual Wielder
,Fighter,Insight,11,Sacred Rites,,Observent
,Druid,Heal,9,Crafting an Item,,Shield Master
,Monk,Dungeoneering,8,Relaxation,,Tough
,Fighter,Athletics,11,Stronghold,,Defensive Duelist
,Ranger,Streetwise,11,Pit Fighting,,Resilient
,Barbarian,Streetwise,75,Sacred Rites,Path of the Zealot,Defensive Duelist
,Warlock,Stealth,110,Buying a Magic Item,The Great Old One,Medium Armor
,Druid,Dungeoneering,5,Crafting an Item,,Medium Armor
,Barbarian,Nature,55,Stronghold,Path of the Totem Warrior,Sharpshooter
,Warlock,Athletics,43,Buying a Magic Item,The Undying,Great Weapon Master
,Rogue,Bluff,32,Sacred Rites,Assassin,Lucky
,Druid,Streetwise,10,Sowing Rumors,,Crossbow Expert
,Druid,Arcana,24,Scribing a Spell Scroll,Circle of Spores,Polearm Master
,Druid,Heal,24,Sowing Rumors,Circle of Spores,Sharpshooter
,Cleric,Intimidate,35,Selling a Magic Item,Tempest Domain,Lucky
,Rogue,Streetwise,33,Sacred Rites,Inquisitive,Crossbow Expert
,Sorcerer,Endurance,26,Religious Service,Divine Soul,Polearm Master
,Fighter,Dungeoneering,13,Tool,,Polearm Master
,Artificer,Thievery,10,Carousing,,Medium Armor
,Bard,Religion,31,Sacred Rites,College of Swords,Crossbow Expert
,Ranger,Streetwise,20,Crafting an Item,,Dual Wielder
,Sorcerer,Arcana,44,Carousing,Wild Magic,Polearm Master
,Barbarian,Dungeoneering,51,Sacred Rites,Path of the Battlerager,Sharpshooter
,Sorcerer,Nature,62,Crime,Shadow Magic,Elven Accuracy
,Druid,Religion,40,Research,Circle of the Moon,Elven Accuracy
,Fighter,Stealth,77,Tool,gunslinger,Dual Wielder
,Druid,Endurance,10,Selling a Magic Item,,Medium Armor
,Monk,Religion,12,Crime,,Lucky
,Wizard,Religion,8,Scribing a Spell Scroll,,Observent
,Warlock,Dungeoneering,24,Language,The Hexblade,Shield Master
,Paladin,Intimidate,31,Sowing Rumors,OathBreaker,Crossbow Expert
,Cleric,Intimidate,39,Research,Light Domain,War Caster
,Paladin|Warlock,Stealth,90,Pit Fighting,Oath of Conquest|The Hexblade,Dual Wielder
,Druid,Bluff,45,Carousing,Circle of the Moon,Tough
,Druid,Insight,19,Gambling,Circle of the Elements,Sharpshooter
,Druid,Streetwise,19,Sowing Rumors,Circle of the Elements,Sharpshooter
,Druid,Diplomacy,17,Crime,Circle of the Elements,Great Weapon Master
,Druid,Intimidate,17,Buying a Magic Item,Circle of the Elements,Defensive Duelist
,Druid,Nature,17,Sacred Rites,Circle of the Elements,Polearm Master
,Bard,Insight,9,Crafting an Item,,Sharpshooter
,Bard,Endurance,21,Carousing,College of Lore,Shield Master
,Cleric,Religion,30,Stronghold,Grave Domain,Medium Armor
,Warlock,Religion,71,Sacred Rites,The Undying,Sentinel
,Monk,Nature,10,Crafting an Item,,Medium Armor
,Fighter,Dungeoneering,12,Sacred Rites,,Tough
,Rogue,Insight,9,Stronghold,,Alert
,Fighter,Athletics,13,Pit Fighting,,Lucky
,Wizard,Bluff,9,Buying a Magic Item,,Tough
,Rogue,Intimidate,9,Sowing Rumors,,Mobile
,Paladin,Athletics,12,Sacred Rites,,Medium Armor
,Ranger,Nature,12,Crime,,Lucky
,Rogue,Arcana,10,Carousing,,Defensive Duelist
,Druid,Bluff,11,Sacred Rites,,Shield Master
,Rogue,Thievery,44,Religious Service,Thief,Actor
,Rogue,Nature,9,Buying a Magic Item,,Crossbow Expert
,Rogue|Fighter,Streetwise,42,Crafting an Item,Mastermind|,Defensive Duelist
,Rogue|Fighter,Bluff,42,Selling a Magic Item,Mastermind|,Elven Accuracy
,Bard,Diplomacy,66,Tool,College of Whispers,Resilient
,Warlock,Endurance,45,Selling a Magic Item,The Hexblade,Tough
,Sorcerer,Thievery,28,Research,Divine Soul,Prodigy
,Paladin|Bard,Heal,62,Crafting an Item,|College of Swords,Lucky
,Sorcerer,Streetwise,50,Sowing Rumors,Draconic Bloodline,Polearm Master
,Fighter,Heal,138,Sacred Rites,Battle Master,Great Weapon Master
,Rogue,Religion,45,Relaxation,Assassin,Resilient
,Bard,Thievery,43,Sowing Rumors,College of Swords,Lucky
,Rogue,Diplomacy,67,Tool,Thief,Sharpshooter
,Barbarian,Religion,60,Tool,Path of the Totem Warrior,Elven Accuracy
,Fighter,Insight,76,Religious Service,Battle Master,Resilient
,Druid,Diplomacy,56,Religious Service,Circle of the Moon,Defensive Duelist
,Blood Hunter,Religion,100,Crafting an Item,Order of the Ghostslayer,Tough
,Revised Ranger,Athletics,68,Relaxation,Hunter Conclave,Elven Accuracy
,Fighter,Endurance,49,Stronghold,Arcane Archer,Sharpshooter
,Rogue,Nature,39,Crime,Inquisitive,Prodigy
,Ranger,Diplomacy,56,Stronghold,Monster Slayer,Prodigy
,Cleric,Endurance,71,Selling a Magic Item,Nature Domain,Mobile
,Barbarian,Athletics,66,Buying a Magic Item,Path of the Berserker,Prodigy
,Rogue,Religion,67,Research,Thief,Spell Sniper
,Wizard,Endurance,7,Work,,Dual Wielder
,Barbarian,Bluff,80,Carousing,Path of the Totem Warrior,Prodigy
,Paladin,Diplomacy,12,Carousing,,Prodigy
,Barbarian,Endurance,15,Sacred Rites,,Lucky
,Druid,Endurance,16,Religious Service,Circle of the Moon,Crossbow Expert
,Monk,Streetwise,14,Language,,Crossbow Expert
,Paladin,Nature,55,Scribing a Spell Scroll,OathBreaker,War Caster
,Rogue,Thievery,39,Crafting an Item,Inquisitive,Lucky
,Warlock,Diplomacy,31,Crime,The Fiend,War Caster
,Sorcerer,Streetwise,44,Crafting an Item,Storm Sorcery,Alert
