BG_ID,BG_Name,Story,Job,Characteristics
,Smuggler,To be written by player,Creative,Farsighted
,Custom,To be written by player,Squire,Relentless
,Guild Artisan,To be written by player,Entrepreneur,Suspicious
,Criminal,To be written by player,Academic,Relentless
,Criminal,To be written by player,Entrepreneur,Suspicious
,Noble,To be written by player,Transporter,Polite
,Sage,To be written by player,Outcast,Distinctive
,Custom,To be written by player,Student,Aggression
,Hermit,To be written by player,Astronaut Trainee,Specialized
,Urchin,To be written by player,Military,Dishonesty
,Urchin,To be written by player,Colonist,Aggression
,Urchin,To be written by player,Doctor,Brawler
,Urchin,To be written by player,Creative, Illiterate
,Urchin,To be written by player,Drifter,Specialized
,Guild Member - Mayhem,To be written by player,Doctor,Brawler
,Charlatan,To be written by player,Novitiate,Polite
,Knight,To be written by player,Novitiate,Abrasiveness
,Acolyte,To be written by player,Squire,Easygoing
,Criminal,To be written by player,Hedge Wizard,Relentless
,Outlander,To be written by player,Religious,Aggression
,Acolyte,To be written by player,Entrepreneur,Easygoing
,Criminal,To be written by player,Technician,Polite
,Soldier,To be written by player,Colonist,Suspicious
,Acolyte,To be written by player,Law Enforcement, Illiterate
,Adopted,To be written by player,Doctor,Focused
,Sage,To be written by player,Athlete,Suspicious
,City Watch,To be written by player,Gladiator,Inattentive
,Charlatan,To be written by player,Adventurer,Inattentive
,Soldier,To be written by player,Doctor,Honest
,Trapmaster/locksmith,To be written by player,Novitiate,Absent-Minded
,Folk Hero,To be written by player,White Collar,Honest
,Outlander,To be written by player,Emergency Services,Polite
,Hermit,To be written by player,Outcast,Specialized
,Entertainer,To be written by player,Religious,Relentless
,Barbarian Tribe Member,To be written by player,Emergency Services,Inattentive
,Hermit,To be written by player,Technician,Inattentive
,Cloistered Scholar,To be written by player,Academic,Slow
,Sage,To be written by player,Drifter,Brawler
,Noble,To be written by player,Heir,Distinctive
,City Watch,To be written by player,Outcast,Detached
,Inheritor,To be written by player,Law Enforcement,Relentless
,Sailor,To be written by player,Heir,Aggression
,Hermit,To be written by player,Entrepreneur,Aggression
,Guild Artisan,To be written by player,Dilettante,Detached
,Soldier,To be written by player,Athlete,Detached
,Criminal,To be written by player,Doctor,Farsighted
,Outlander,To be written by player,Emergency Services,Farsighted
,Soldier,To be written by player,Academic,Cautious
,Faction Agent,To be written by player,Dilettante, Illiterate
,Mercenary Veteran,To be written by player,Gladiator, Illiterate
,Mercenary Veteran,To be written by player,Scavenger,Cautious
,Folk Hero,To be written by player,Blue Collar,Distinctive
,Barbarian Tribe Member,To be written by player,Squire,Absent-Minded
,Sailor,To be written by player,Novitiate,Abrasiveness
,Far Traveler,To be written by player,Blue Collar,Slow
,Criminal,To be written by player,Dilettante,Suspicious
,Criminal,To be written by player,White Collar, Illiterate
,Far Traveler,To be written by player,Shadow Scholar,Easygoing
,Folk Hero,To be written by player,Athlete,Relentless
,Folk Hero,To be written by player,Gladiator,Hardy
,Acolyte,To be written by player,Heir,Brawler
,Soldier,To be written by player,Transporter,Distinctive
,Noble,To be written by player,Emergency Services,Polite
,Soldier,To be written by player,Military,Farsighted
,Folk Hero,To be written by player,Gladiator,Hard of hearing
,Urchin,To be written by player,Outcast,Farsighted
,Charlatan,To be written by player,Student,Dishonesty
,Guild Artisan,To be written by player,Doctor,Relentless
,Far Traveler,To be written by player,Transporter, Illiterate
,Urchin,To be written by player,Academic,Inattentive
,Criminal,To be written by player,Investigative,Uncivilized
,Haunted One,To be written by player,Novitiate,Distinctive
,Acolyte,To be written by player,Outcast,Abrasiveness
,Outlander,To be written by player,Outcast,Suspicious
,Barbarian Tribe Member,To be written by player,Criminal, Illiterate
,Mercenary Veteran,To be written by player,Dilettante, Illiterate
,Acolyte,To be written by player,Student,Cautious
,Inheritor,To be written by player,Investigative,Detached
,Noble,To be written by player,Investigative,Hard of hearing
,Entertainer,To be written by player,Athlete,Relentless
,Soldier,To be written by player,Student,Suspicious
,Barbarian Tribe Member,To be written by player,Doctor,Detached
,Noble,To be written by player,Rural,Focused
,Knight,To be written by player,Drifter,Distinctive
,Criminal,To be written by player,Drifter,Hard of hearing
,Charlatan,To be written by player,Transporter,Inattentive
,Criminal,To be written by player,Adventurer,Distinctive
,Far Traveler,To be written by player,Transporter,Specialized
,Far Traveler,To be written by player,Shadow Scholar,Hard of hearing
,Soldier,To be written by player,Squire,Detached
,Noble,To be written by player,Criminal, Illiterate
,Courtier,To be written by player,Scavenger, Illiterate
,Soldier,To be written by player,Transporter,Absent-Minded
,Acolyte,To be written by player,Emergency Services,Hard of hearing
,Mercenary Veteran,To be written by player,Creative,Suspicious
,Courtier,To be written by player,Transporter,Inattentive
,Mercenary Veteran,To be written by player,Technician,Polite
,Entertainer,To be written by player,Aporthecary,Farsighted
,Acolyte,To be written by player,Outcast,Uncivilized
,Acolyte,To be written by player,Gladiator,Specialized
,Acolyte,To be written by player,Adventurer,Farsighted
,Acolyte,To be written by player,Shadow Scholar,Easygoing
,Mercenary Veteran,To be written by player,Outcast,Slow
,Barbarian Tribe Member,To be written by player,Gladiator,Slow
,Folk Hero,To be written by player,Heir,Uncivilized
,Entertainer,To be written by player,Student,Uncivilized
,Sailor,To be written by player,White Collar,Brawler
,Far Traveler,To be written by player,Scavenger,Focused
,Acolyte,To be written by player,Military,Slow
,Entertainer,To be written by player,White Collar,Suspicious
,Criminal,To be written by player,Aporthecary,Cautious
,Criminal,To be written by player,Drifter,Hardy
,Criminal,To be written by player,White Collar,Distinctive
,Noble,To be written by player,Blue Collar,Farsighted
,Noble,To be written by player,Outcast,Focused
,Criminal,To be written by player,Drifter,Honest
,Charlatan,To be written by player,Creative,Hardy
,Courtier,To be written by player,Shadow Scholar,Easygoing
,Soldier,To be written by player,Adventurer,Specialized
,Faction Agent,To be written by player,Outcast,Cautious
,Criminal,To be written by player,Psychic,Distinctive
,Soldier,To be written by player,Creative,Abrasiveness
,Hermit,To be written by player,Outcast,Aggression
,Outlander,To be written by player,Creative,Focused
,Outlander,To be written by player,Rural,Honest
,Noble,To be written by player,Technician,Detached
,Criminal,To be written by player,Investigative,Detached
,Urchin,To be written by player,Investigative,Specialized
,Clan Crafter,To be written by player,Student,Absent-Minded
,Acolyte,To be written by player,Technician,Cautious
,Farmer,To be written by player,Heir,Relentless
,Custom,To be written by player,Military,Hard of hearing
,Outlander,To be written by player,Athlete,Honest
,Wagonmaster,To be written by player,Law Enforcement,Dishonesty
,Soldier,To be written by player,Entrepreneur,Detached
,Outlander,To be written by player,White Collar,Farsighted
,Far Traveler,To be written by player,Squire,Dishonesty
,Erudita,To be written by player,Investigative,Aggression
,Erudita,To be written by player,Criminal,Hardy
,Outlander,To be written by player,Entrepreneur,Brawler
,Hermit,To be written by player,Military,Detached
,Outlander,To be written by player,Technician,Abrasiveness
,Soldier,To be written by player,Outcast,Uncivilized
,Outlander,To be written by player,Doctor,Inattentive
,Folk Hero,To be written by player,Dilettante,Brawler
,Outlander,To be written by player,Shadow Scholar,Aggression
,Far Traveler,To be written by player,Entrepreneur,Relentless
,Noble,To be written by player,Hedge Wizard,Abrasiveness
,Urban Bounty Hunter,To be written by player,Shadow Scholar,Farsighted
,Urban Bounty Hunter,To be written by player,Emergency Services,Dishonesty
,Sage,To be written by player,Criminal,Brawler
,Soldier,To be written by player,Academic,Slow
,Charlatan,To be written by player,Aporthecary,Inattentive
,Acolyte,To be written by player,Hedge Wizard,Dishonesty
,Acolyte,To be written by player,Transporter,Hardy
,Mercenary Veteran,To be written by player,Shadow Scholar,Aggression
,Urchin,To be written by player,Rural,Relentless
,Noble,To be written by player,Law Enforcement,Hard of hearing
,Sailor,To be written by player,Psychic,Hardy
,Clan Crafter,To be written by player,Scavenger,Suspicious
,Sage,To be written by player,Academic,Aggression
,Haunted One,To be written by player,Law Enforcement,Distinctive
,Sage,To be written by player,Academic,Abrasiveness
,Criminal,To be written by player,Investigative,Easygoing
,Folk Hero,To be written by player,Hedge Wizard,Detached
,Folk Hero,To be written by player,Astronaut Trainee,Farsighted
,City Watch,To be written by player,Colonist,Aggression
,Haunted One,To be written by player,Outcast,Distinctive
,Haunted One,To be written by player,Outcast,Specialized
,Noble,To be written by player,Academic,Focused
,Noble,To be written by player,Heir,Relentless
,Haunted One,To be written by player,Dilettante,Specialized
,Hermit,To be written by player,Adventurer, Illiterate
,Criminal,To be written by player,Entrepreneur,Specialized
,Acolyte,To be written by player,Athlete,Relentless
,Charlatan,To be written by player,Blue Collar,Farsighted
,Barbarian Tribe Member,To be written by player,Scavenger,Slow
,Outlander,To be written by player,Transporter,Hard of hearing
,Sailor,To be written by player,Academic,Honest
,Hermit,To be written by player,Law Enforcement,Hard of hearing
,Noble,To be written by player,Drifter,Hardy
,Sage,To be written by player,Shadow Scholar,Farsighted
,Outlander,To be written by player,Athlete,Relentless
,Baby,To be written by player,Gladiator,Absent-Minded
,Criminal,To be written by player,Hedge Wizard,Aggression
,Urchin,To be written by player,Creative,Suspicious
,Faction Agent,To be written by player,Aporthecary,Detached
,Soldat,To be written by player,Shadow Scholar,Slow
,Folk Hero,To be written by player,Law Enforcement,Aggression
,Criminal,To be written by player,Heir,Distinctive
,Entertainer,To be written by player,Transporter,Inattentive
,Outlander,To be written by player,Dilettante,Dishonesty
,Sage,To be written by player,Astronaut Trainee,Inattentive
,Urchin,To be written by player,Student,Slow
,Hermit,To be written by player,Aporthecary,Uncivilized
,Erudita,To be written by player,Student,Relentless
,Erudita,To be written by player,Religious,Dishonesty
,Sage,To be written by player,Academic,Suspicious
,Courtier,To be written by player,Blue Collar,Polite
,Courtier,To be written by player,Squire,Polite
,Soldier,To be written by player,Technician,Abrasiveness
,Criminal,To be written by player,Outcast,Inattentive
,Acolyte,To be written by player,Criminal,Abrasiveness
,Sage,To be written by player,Investigative,Hardy
,Guild Member - Technology,To be written by player,Dilettante,Uncivilized
,Entertainer,To be written by player,Drifter,Polite
,Hermit,To be written by player,Colonist,Absent-Minded
,Folk Hero,To be written by player,Creative,Farsighted
,Smuggler,To be written by player,Military,Inattentive
,Sage,To be written by player,Entrepreneur,Relentless
,Noble,To be written by player,Entrepreneur,Inattentive
,Entertainer,To be written by player,Adventurer,Relentless
,Custom,To be written by player,Heir,Aggression
,Haunted One,To be written by player,Law Enforcement,Abrasiveness
,Barbarian Tribe Member,To be written by player,Law Enforcement,Slow
,Guild Member - Wild,To be written by player,Dilettante,Uncivilized
,Cloistered Scholar,To be written by player,Entrepreneur,Aggression
,Soldier,To be written by player,Scavenger,Suspicious
,Guild Member - Wild,To be written by player,Entrepreneur,Uncivilized
,Sage,To be written by player,Doctor,Hard of hearing
,Sage,To be written by player,Scavenger,Absent-Minded
,Entertainer,To be written by player,Criminal,Hard of hearing
,Criminal,To be written by player,Athlete,Hardy
,Criminal,To be written by player,Celebrity,Relentless
,Entertainer,To be written by player,Military,Inattentive
,Acolyte,To be written by player,Hedge Wizard, Illiterate
,Acolyte,To be written by player,Novitiate,Specialized
,Field Medic,To be written by player,Criminal,Farsighted
,Acolyte,To be written by player,Colonist,Farsighted
,City Watch,To be written by player,Aporthecary,Hard of hearing
,Entertainer,To be written by player,Law Enforcement,Easygoing
,Custom,To be written by player,Transporter,Hard of hearing
,Urban Bounty Hunter,To be written by player,Creative,Suspicious
,Clan Crafter,To be written by player,Adventurer,Relentless
,Barbarian Tribe Member,To be written by player,Rural,Detached
,Sage,To be written by player,Athlete, Illiterate
,Charlatan,To be written by player,Rural,Relentless
,Criminal,To be written by player,Heir,Abrasiveness
,Criminal,To be written by player,Gladiator,Distinctive
,Folk Hero,To be written by player,Emergency Services,Aggression
,Criminal,To be written by player,Gladiator,Suspicious
,Criminal,To be written by player,Aporthecary,Hardy
,Outlander,To be written by player,Entrepreneur,Farsighted
,Outlander,To be written by player,Squire,Specialized
,Hermit,To be written by player,Technician,Distinctive
,Charlatan,To be written by player,Psychic,Slow
,Urchin,To be written by player,Investigative,Relentless
,Outlander,To be written by player,Dilettante,Specialized
,Smuggler,To be written by player,Squire,Cautious
,Knight,To be written by player,White Collar,Uncivilized
,Hermit,To be written by player,Squire,Relentless
,Outlander,To be written by player,Aporthecary,Abrasiveness
,Hermit,To be written by player,Creative,Detached
,Folk Hero,To be written by player,Shadow Scholar,Hardy
,Criminal,To be written by player,Religious,Suspicious
,Far Traveler,To be written by player,Aporthecary,Uncivilized
,Urban Bounty Hunter,To be written by player,Heir,Farsighted
,Outlander,To be written by player,Squire,Inattentive
,Criminal,To be written by player,Rural,Brawler
,Hermit,To be written by player,Entrepreneur,Detached
,Hermit,To be written by player,Creative,Honest
,Hermit,To be written by player,Psychic,Focused
,Outlander,To be written by player,Colonist,Suspicious
,Outlander,To be written by player,Academic,Inattentive
,Sailor,To be written by player,Drifter,Hard of hearing
,Urban Bounty Hunter,To be written by player,Criminal, Illiterate
,Acolyte,To be written by player,Law Enforcement,Honest
,Gladiator (Entertainer),To be written by player,Drifter,Focused
,Rival Intern,To be written by player,Doctor,Honest
,Noble,To be written by player,Heir,Slow
,Outlander,To be written by player,Student,Detached
,Custom,To be written by player,Hedge Wizard,Inattentive
,Clan Crafter,To be written by player,Aporthecary,Focused
,Folk Hero,To be written by player,Drifter,Farsighted
,Outlander,To be written by player,Creative,Distinctive
,Criminal,To be written by player,Celebrity,Distinctive
,Sage,To be written by player,Investigative,Relentless
,Entertainer,To be written by player,Doctor,Dishonesty
,Sage,To be written by player,Hedge Wizard,Cautious
,Soldier,To be written by player,Investigative,Uncivilized
,Mercenary Veteran,To be written by player,Novitiate,Detached
,Acolyte,To be written by player,Drifter,Polite
,Mercenary Veteran,To be written by player,Criminal,Easygoing
,Sage,To be written by player,Doctor,Abrasiveness
,Fisher,To be written by player,Heir,Detached
,Fisher,To be written by player,Academic,Honest
,Fisher,To be written by player,Adventurer, Illiterate
,Fisher,To be written by player,Blue Collar,Uncivilized
,Fisher,To be written by player,Aporthecary,Hard of hearing
,Charlatan,To be written by player,Psychic,Distinctive
,Entertainer,To be written by player,Astronaut Trainee,Distinctive
,Outlander,To be written by player,Technician,Absent-Minded
,Haunted One,To be written by player,Investigative,Honest
,Hermit,To be written by player,Aporthecary,Relentless
,Far Traveler,To be written by player,Religious,Honest
,Charlatan,To be written by player,Emergency Services,Relentless
,Barbarian Tribe Member,To be written by player,Technician,Cautious
,Sage,To be written by player,Academic,Relentless
,Charlatan,To be written by player,White Collar,Hardy
,Acolyte,To be written by player,Gladiator,Detached
,Outlander,To be written by player,Scavenger,Aggression
,Criminal,To be written by player,Outcast,Hard of hearing
,Urchin,To be written by player,Gladiator,Specialized
,Charlatan,To be written by player,Hedge Wizard,Dishonesty
,Haunted One,To be written by player,Student,Dishonesty
,Courtier,To be written by player,Entrepreneur,Dishonesty
,Courtier,To be written by player,Entrepreneur,Honest
,Inheritor,To be written by player,Entrepreneur,Farsighted
,Fisher,To be written by player,Transporter,Hardy
,Far Traveler,To be written by player,Hedge Wizard, Illiterate
,Entertainer,To be written by player,Emergency Services,Aggression
,Folk Hero,To be written by player,Academic,Uncivilized
,Soldier,To be written by player,Technician,Detached
,Criminal,To be written by player,Adventurer,Specialized
,Entertainer,To be written by player,Dilettante,Detached
,Criminal,To be written by player,Student,Slow
,Folk Hero,To be written by player,Squire,Focused
,Mercenary Veteran,To be written by player,Academic, Illiterate
,Hermit,To be written by player,Gladiator,Hardy
,Archaelogist,To be written by player,Technician,Uncivilized
,Archaeologist,To be written by player,Religious,Cautious
,Criminal,To be written by player,Adventurer,Brawler
,Criminal,To be written by player,Military,Focused
,Guild Member - Wild,To be written by player,Outcast,Hard of hearing
,Acolyte,To be written by player,Rural,Dishonesty
,Soldier,To be written by player,Psychic, Illiterate
,Criminal,To be written by player,Emergency Services,Abrasiveness
,Noble,To be written by player,Dilettante,Abrasiveness
,Soldier - infantry,To be written by player,Adventurer,Cautious
,Guild Artisan,To be written by player,Creative,Hardy
,Fisher,To be written by player,Scavenger,Distinctive
,Outlander,To be written by player,Religious,Honest
,Hermit,To be written by player,Investigative,Brawler
,Criminal,To be written by player,Rural,Abrasiveness
,Criminal,To be written by player,Entrepreneur,Detached
,Sage,To be written by player,Blue Collar,Detached
,Sage,To be written by player,Colonist,Inattentive
,Acolyte,To be written by player,Athlete,Inattentive
,Charlatan,To be written by player,Hedge Wizard,Easygoing
,Outlander,To be written by player,Academic,Polite
,Noble,To be written by player,Religious,Dishonesty
,Sage,To be written by player,Athlete,Relentless
,Criminal,To be written by player,White Collar,Uncivilized
,Acolyte,To be written by player,Celebrity,Distinctive
,Soldier,To be written by player,Hedge Wizard,Hardy
,Outlander,To be written by player,Squire,Honest
,Acolyte,To be written by player,Military,Relentless
,Smuggler,To be written by player,Student,Dishonesty
,Custom,To be written by player,Rural,Inattentive
,Charlatan,To be written by player,Astronaut Trainee,Uncivilized
,Urban Bounty Hunter,To be written by player,White Collar, Illiterate
,Archaeologist,To be written by player,Celebrity,Honest
,Archaeologist,To be written by player,Shadow Scholar,Focused
,Acolyte,To be written by player,Scavenger,Easygoing
,Outlander,To be written by player,Scavenger,Specialized
,Outlander,To be written by player,Gladiator,Easygoing
,Shipwright,To be written by player,Adventurer,Suspicious
,Outlander,To be written by player,Academic,Farsighted
,Outlander,To be written by player,Criminal,Inattentive
,Soldier,To be written by player,Emergency Services,Hard of hearing
,Knight,To be written by player,Celebrity,Honest
,Acolyte,To be written by player,Doctor,Inattentive
,Outlander,To be written by player,Celebrity,Abrasiveness
,Soldier,To be written by player,Athlete,Brawler
,Urchin,To be written by player,Transporter,Aggression
,Acolyte,To be written by player,Law Enforcement,Hardy
,Acolyte,To be written by player,Rural,Detached
,Acolyte,To be written by player,Law Enforcement,Absent-Minded
,Barbarian Tribe Member,To be written by player,Celebrity,Farsighted
,Far Traveler,To be written by player,Doctor, Illiterate
,Entertainer,To be written by player,Drifter,Slow
,Entertainer,To be written by player,Drifter,Easygoing
,Acolyte,To be written by player,Shadow Scholar,Dishonesty
,Entertainer,To be written by player,Psychic,Hard of hearing
,City Watch,To be written by player,Rural,Suspicious
,Entertainer,To be written by player,Gladiator,Hardy
,Soldier,To be written by player,Criminal,Distinctive
,Criminal,To be written by player,Technician,Absent-Minded
,Hermit,To be written by player,Gladiator,Hardy
,Haunted One,To be written by player,Novitiate,Abrasiveness
,Outlander,To be written by player,Aporthecary,Specialized
,Knight,To be written by player,Transporter,Dishonesty
,Urban Bounty Hunter,To be written by player,Transporter, Illiterate
,Custom,To be written by player,Novitiate,Aggression
,Sage,To be written by player,Technician,Uncivilized
,Courtier,To be written by player,Heir,Uncivilized
,Charlatan,To be written by player,Scavenger, Illiterate
,Soldier,To be written by player,Drifter,Easygoing
,Soldier,To be written by player,Religious,Absent-Minded
,Acolyte,To be written by player,Entrepreneur,Absent-Minded
,Noblia,To be written by player,Dilettante,Dishonesty
,Outlander,To be written by player,White Collar,Focused
,Noble,To be written by player,Shadow Scholar,Aggression
,Sage,To be written by player,Entrepreneur,Dishonesty
,Criminal,To be written by player,Outcast,Absent-Minded
,Charlatan,To be written by player,Heir,Abrasiveness
,Urban Bounty Hunter,To be written by player,Hedge Wizard, Illiterate
,Mercenary Veteran,To be written by player,Law Enforcement,Abrasiveness
,Urchin,To be written by player,Colonist,Abrasiveness
,Far Traveler,To be written by player,Transporter,Suspicious
,Haunted One,To be written by player,Military,Polite
,Far Traveler,To be written by player,White Collar,Focused
,Criminal,To be written by player,Shadow Scholar,Hard of hearing
,Custom,To be written by player,Rural,Uncivilized
,Custom,To be written by player,Blue Collar,Distinctive
,Soldier,To be written by player,White Collar,Relentless
,Knight,To be written by player,Dilettante,Cautious
,Soldier,To be written by player,Academic,Slow
,Sage,To be written by player,Student,Polite
,Haunted One,To be written by player,Psychic,Relentless
,Urchin,To be written by player,Gladiator,Hardy
,Urchin,To be written by player,Celebrity,Cautious
,Urchin,To be written by player,Academic,Easygoing
,Soldier,To be written by player,Religious,Easygoing
,Custom,To be written by player,Military,Suspicious
,Noble,To be written by player,Military, Illiterate
,Criminal,To be written by player,Novitiate,Specialized
,Soldier,To be written by player,Blue Collar,Hardy
,Urchin,To be written by player,Military, Illiterate
,Hermit,To be written by player,Religious,Inattentive
,Noble,To be written by player,Drifter,Farsighted
,Criminal,To be written by player,Technician,Focused
,Urban Bounty Hunter,To be written by player,Religious,Aggression
,Noble,To be written by player,Colonist,Slow
,Criminal,To be written by player,Aporthecary,Dishonesty
,Marine,To be written by player,Astronaut Trainee,Polite
,Soldier,To be written by player,Adventurer,Easygoing
,Charlatan,To be written by player,Psychic,Dishonesty
,Guild Artisan,To be written by player,Outcast,Relentless
,Custom,To be written by player,Military,Relentless
,Acolyte,To be written by player,Creative,Specialized
,Acolyte,To be written by player,Academic,Absent-Minded
,Archaeologist,To be written by player,Astronaut Trainee,Easygoing
,Mercenary Veteran,To be written by player,Technician,Detached
,Urchin,To be written by player,Rural,Inattentive
,Urchin,To be written by player,Transporter,Cautious
,Knight,To be written by player,Shadow Scholar,Detached
,Sage,To be written by player,Psychic,Detached
,Charlatan,To be written by player,Creative,Relentless
,Urchin,To be written by player,Blue Collar,Detached
,Custom,To be written by player,Emergency Services,Focused
,Urchin,To be written by player,Technician,Distinctive
,Sage,To be written by player,Aporthecary,Easygoing
,Acolyte,To be written by player,Transporter,Slow
,Criminal,To be written by player,Astronaut Trainee,Focused
,Acolyte,To be written by player,Athlete,Hardy
,Knight,To be written by player,Adventurer,Hard of hearing
,Pirate,To be written by player,Dilettante,Uncivilized
,Sailor,To be written by player,Celebrity,Polite
,Urban Bounty Hunter,To be written by player,Scavenger,Aggression
,Outlander,To be written by player,Scavenger,Aggression
,Inheritor,To be written by player,Psychic,Brawler
,Urchin,To be written by player,Celebrity,Dishonesty
,Criminal,To be written by player,Emergency Services,Uncivilized
,Criminal,To be written by player,Technician,Uncivilized
,Rival Intern,To be written by player,Criminal,Hard of hearing
,Faction Agent,To be written by player,Religious,Dishonesty
,Custom,To be written by player,Transporter,Distinctive
,Custom,To be written by player,Law Enforcement,Distinctive
,Custom,To be written by player,Heir, Illiterate
,Custom,To be written by player,Entrepreneur,Suspicious
,Folk Hero,To be written by player,Gladiator,Inattentive
,Criminal,To be written by player,Shadow Scholar,Honest
,Caravan Specialist,To be written by player,Aporthecary,Uncivilized
,Noble,To be written by player,Colonist,Distinctive
,Sage,To be written by player,Military,Suspicious
,Entertainer,To be written by player,Athlete,Slow
,Outlander,To be written by player,Outcast,Abrasiveness
,Charlatan,To be written by player,Doctor,Focused
,Criminal,To be written by player,Blue Collar,Hard of hearing
,Far Traveler,To be written by player,Adventurer,Specialized
,Folk Hero,To be written by player,Gladiator,Focused
,Outlander,To be written by player,Creative,Farsighted
,Noble,To be written by player,Outcast,Focused
,Haunted One,To be written by player,Colonist, Illiterate
,Barbarian Tribe Member,To be written by player,Novitiate,Honest
,Urchin,To be written by player,Religious,Abrasiveness
,Entertainer,To be written by player,Psychic,Cautious
,Acolyte,To be written by player,Gladiator,Slow
,Urchin,To be written by player,Investigative,Brawler
,Acolyte,To be written by player,Law Enforcement,Specialized
,Hermit,To be written by player,Student,Distinctive
,Soldier,To be written by player,Entrepreneur,Suspicious
,Soldier,To be written by player,Gladiator,Abrasiveness
,Criminal,To be written by player,Entrepreneur,Easygoing
,Haunted One,To be written by player,Drifter,Farsighted
,Cloistered Scholar,To be written by player,Gladiator,Polite
,Far Traveler,To be written by player,Military,Suspicious
,Far Traveler,To be written by player,Shadow Scholar,Inattentive
,Smuggler,To be written by player,Outcast,Brawler
,Inheritor,To be written by player,Psychic,Hardy
,Outlander,To be written by player,Hedge Wizard,Suspicious
,Criminal,To be written by player,Student,Cautious
,Hermit,To be written by player,Doctor, Illiterate
,Cloistered Scholar,To be written by player,Entrepreneur,Hardy
,Acolyte,To be written by player,Emergency Services,Focused
,Criminal,To be written by player,Heir,Focused
,Criminal,To be written by player,Outcast,Inattentive
,<U+0093>Master<U+0094><U+0092>s Apprentice,To be written by player,Psychic,Inattentive
,Outlander,To be written by player,Gladiator,Absent-Minded
,Noble,To be written by player,Rural,Hard of hearing
,Hermit,To be written by player,Drifter,Absent-Minded
,Soldier,To be written by player,Outcast,Detached
,Knight,To be written by player,Colonist,Distinctive
