Spell_ID,Spell_Name,Type,Level,Components,Range,Duration,Casting_Time
,Harm,Enchantment,8,v,60,120,8
,Gust of Wind,Conjuration,9,v,30,120,10
,Fly,Transmutation,5,v,90,30,10
,Animate dead,Divination,3,v s,90,30,8
,Gust of Wind,Illusions,8,m,90,60,10
,Acid Splash,Conjuration,5,s,0,30,10
,Animal Friendship,Evocation,3,v s,120,90,10
,Arcane Eye,Enchantment,2,v s,90,90,10
,Insect Plague,Conjuration,4,v,90,30,1
,Entangle,Divination,2,v,90,30,1
,Hideous Laughter,Necromancy,7,m,30,0,0
,Gust of Wind,Divination,2,v s m,120,120,1
,Bane,Divination,10,v,0,0,10
,Arcane Lock,Divination,5,v,0,30,0
,Prismatic Wall,Conjuration,9,s,30,60,10
,Acid Arrow,Evocation,8,s,0,60,10
,Aid,Enchantment,3,m,60,60,10
,Animal Messenger,Evocation,3,v s m,120,60,0
,Entangle,Conjuration,6,m,0,30,10
,Antimagic Field,Transmutation,8,v,30,90,8
,Aid,Divination,2,v,120,0,0
,Antimagic Field,Divination,5,v s,90,30,1
,Animal Shape,Divination,3,v s,120,0,1
,Fireball,Conjuration,7,v s m,30,0,1
,Secret Chest,Evocation,4,m,90,60,1
,Animal Shape,Necromancy,3,v s,60,60,1
,Gust of Wind,Transmutation,3,s,60,0,0
,Antlife Shell,Abjuration,7,v s,90,0,0
,Clone,Abjuration,2,v,30,120,0
,Aid,Divination,2,m,90,90,1
,Animal Shape,Divination,9,v,0,120,0
,Animate Objects,Divination,5,v s m,0,90,8
,Arcane Lock,Conjuration,6,s,60,90,0
,Insect Plague,Necromancy,8,v s m,30,30,10
,Animal Friendship,Enchantment,2,v,90,90,0
,Fly,Abjuration,1,m,0,120,8
,Harm,Transmutation,5,v s m,60,90,0
,Inflict Wounds,Divination,1,m,30,120,8
,Aid,Enchantment,4,m,0,30,8
,Alter Self,Transmutation,6,m,0,0,8
,Arcane Eye,Transmutation,6,v,90,60,8
,Animal Friendship,Divination,2,v,0,60,8
,Fly,Divination,3,v s m,0,60,10
,Insect Plague,Divination,8,m,0,60,0
,Arcane Sword,Evocation,9,v s m,0,30,10
,Secret Chest,Abjuration,9,v,120,30,10
,Secret Chest,Illusions,10,v,120,0,1
,Animate dead,Evocation,7,v s m,60,120,0
,Harm,Illusions,2,v s,60,30,10
,Inflict Wounds,Conjuration,10,v s,0,120,8
,Arcane Lock,Conjuration,7,m,90,120,10
,Fireball,Necromancy,2,s,90,120,10
,Color Spray,Transmutation,8,s,0,30,8
,Insect Plague,Enchantment,8,s,30,120,1
,Prismatic Wall,Divination,9,v,120,30,0
,Acid Splash,Divination,5,v,60,120,1
,Color Spray,Illusions,1,v,60,0,1
,Arcane Sword,Illusions,5,v s,0,60,8
,Beacon of Hope,Necromancy,9,m,90,120,10
,Acid Splash,Divination,3,s,30,30,1
,Arcane Sword,Necromancy,9,s,120,60,0
,Antimagic Field,Transmutation,8,m,90,30,8
,Entangle,Divination,5,v s m,60,120,8
,Animal Shape,Enchantment,6,v s m,90,90,1
,Entangle,Divination,3,m,120,120,10
,Color Spray,Transmutation,3,v s m,0,30,8
,Enthrall,Necromancy,8,m,90,120,0
,Hideous Laughter,Necromancy,4,v s,0,90,8
,Animate Objects,Transmutation,3,s,120,60,0
,Sequester,Transmutation,4,s,120,0,1
,Banishment,Evocation,4,v,120,30,8
,Animal Shape,Enchantment,8,s,60,120,1
,Arcane Sword,Divination,7,v s,0,60,1
,Fly,Transmutation,10,v s,120,60,8
,Enthrall,Necromancy,8,v s,90,0,10
,Animate Objects,Conjuration,6,v,60,90,1
,Clone,Evocation,9,m,90,0,8
,Antipathy Sympathy,Necromancy,4,v,90,90,0
,Animate Objects,Conjuration,8,s,120,0,1
,Clone,Enchantment,8,v s,30,120,0
,Arcane Lock,Illusions,9,v s,120,30,0
,Harm,Transmutation,6,v s,30,60,10
,Inflict Wounds,Divination,6,m,90,90,0
,Banishment,Illusions,7,m,120,120,1
,Aid,Evocation,2,v s m,60,90,0
,Antlife Shell,Conjuration,5,v s,120,0,10
,Fly,Conjuration,2,s,0,0,10
,Clone,Evocation,6,m,120,0,8
,Fireball,Conjuration,5,v s,90,90,10
,Animate dead,Necromancy,9,v s m,30,60,0
,Clone,Transmutation,8,v s m,0,0,8
,Antipathy Sympathy,Abjuration,10,v s m,30,30,10
,Acid Splash,Enchantment,7,v s m,60,30,8
,Fireball,Enchantment,4,s,60,120,0
,Animal Shape,Enchantment,3,s,0,0,10
,Harm,Enchantment,5,v,60,120,0
,Hideous Laughter,Necromancy,7,m,120,30,10
,Clairvoyance,Conjuration,10,v,60,0,1
,Aid,Illusions,6,v s,90,60,0
,Alter Self,Illusions,6,m,60,0,0
,Bane,Divination,7,m,0,120,1
,Animal Messenger,Evocation,9,v s m,30,120,0
,Antlife Shell,Enchantment,9,v s,30,90,1
,Alarm,Transmutation,10,v s m,0,120,8
,Animal Messenger,Transmutation,5,m,0,60,1
,Arcane Sword,Transmutation,3,m,120,90,10
,Insect Plague,Conjuration,10,m,0,30,8
,Secret Chest,Divination,8,m,90,30,0
,Arcane Eye,Transmutation,2,v,60,60,10
,Enthrall,Necromancy,7,m,0,30,0
,Inflict Wounds,Enchantment,1,v s,120,90,0
,Arcane Eye,Transmutation,7,v s m,120,120,1
,Clone,Necromancy,2,v s,120,30,1
,Acid Arrow,Transmutation,9,v s,60,60,0
,Harm,Enchantment,8,v s,30,0,0
,Animal Messenger,Enchantment,10,v s,120,60,1
,Arcane Lock,Abjuration,10,v s m,30,30,1
,Inflict Wounds,Divination,5,v s,120,0,0
,Acid Splash,Evocation,4,v,60,120,1
,Antipathy Sympathy,Conjuration,4,m,0,0,0
,Enthrall,Enchantment,10,v s,90,90,8
,Haste,Enchantment,6,m,90,30,10
,Sequester,Enchantment,4,v,60,90,8
,Clairvoyance,Divination,1,v s,120,30,10
,Enthrall,Divination,2,v s m,30,90,0
,Animal Friendship,Transmutation,3,v s,0,60,1
,Clone,Conjuration,6,s,0,60,8
,Acid Splash,Divination,1,v,0,0,0
,Aid,Enchantment,8,m,30,30,0
,Alarm,Illusions,10,v,30,120,1
,Entangle,Transmutation,6,v s,0,90,1
,Animate dead,Illusions,3,v s m,0,0,0
,Bane,Abjuration,3,m,0,120,8
,Animate dead,Transmutation,7,v s m,30,90,8
,Inflict Wounds,Evocation,2,v,120,120,0
,Arcane Sword,Divination,8,s,30,0,0
,Arcane Sword,Divination,1,v,90,90,10
,Hideous Laughter,Necromancy,5,v s m,120,0,0
,Arcane Hand,Evocation,10,m,0,120,8
,Entangle,Evocation,6,s,120,90,1
,Inflict Wounds,Enchantment,3,m,90,90,1
,Sequester,Abjuration,3,m,90,0,1
,Color Spray,Transmutation,10,v s,30,90,1
,Alter Self,Evocation,2,v s m,90,0,8
,Animate Objects,Illusions,6,v s m,0,0,8
,Acid Splash,Necromancy,7,v,30,30,1
,Color Spray,Enchantment,5,s,30,30,0
,Insect Plague,Illusions,4,m,30,30,10
,Entangle,Transmutation,7,v s,60,60,0
,Gust of Wind,Illusions,6,m,90,120,8
,Antlife Shell,Conjuration,3,s,90,60,8
,Animate Objects,Abjuration,2,s,30,0,8
,Antipathy Sympathy,Conjuration,3,s,90,60,10
,Antlife Shell,Illusions,3,v,60,60,8
,Acid Splash,Enchantment,9,m,120,120,8
,Inflict Wounds,Enchantment,7,v,60,60,0
,Freezing Sphere,Illusions,6,s,120,60,0
,Fireball,Necromancy,7,v s m,0,120,10
,Clairvoyance,Conjuration,3,v s,0,120,0
,Fireball,Evocation,9,m,0,90,0
,Animate Objects,Conjuration,4,v,60,90,0
,Bane,Divination,9,v s m,90,30,1
,Insect Plague,Conjuration,4,s,0,90,0
,Arcane Hand,Transmutation,3,s,90,120,0
,Alter Self,Necromancy,9,v s m,120,0,0
,Clone,Evocation,10,v s m,120,0,1
,Animal Friendship,Evocation,5,s,0,60,8
,Freezing Sphere,Illusions,10,s,120,120,1
,Haste,Abjuration,9,v s,30,0,8
,Clairvoyance,Necromancy,3,s,60,60,0
,Arcane Hand,Illusions,7,v,30,0,10
,Inflict Wounds,Conjuration,10,v s,120,30,8
,Clone,Evocation,6,v s,120,0,0
,Acid Splash,Enchantment,10,m,90,0,0
,Inflict Wounds,Illusions,7,v,90,90,8
,Antlife Shell,Transmutation,7,s,90,120,0
,Acid Arrow,Enchantment,6,v s,60,120,0
,Hideous Laughter,Transmutation,3,v s,30,90,8
,Animal Messenger,Transmutation,1,v s m,60,90,8
,Insect Plague,Divination,6,s,90,30,0
,Clairvoyance,Transmutation,9,v,90,0,10
,Antipathy Sympathy,Evocation,2,s,60,30,10
,Harm,Divination,4,s,30,60,10
,Fireball,Enchantment,9,m,90,60,10
,Antlife Shell,Enchantment,10,v,60,30,10
,Antimagic Field,Illusions,10,m,90,90,1
,Animal Friendship,Divination,2,v s m,60,120,1
,Freezing Sphere,Evocation,7,s,90,120,1
,Arcane Lock,Abjuration,6,m,120,30,1
,Alarm,Enchantment,9,m,60,30,8
,Antlife Shell,Illusions,3,v,120,0,0
,Color Spray,Enchantment,3,m,0,60,0
,Banishment,Enchantment,8,s,90,30,8
,Prismatic Wall,Evocation,9,s,60,0,8
,Acid Splash,Necromancy,3,v,60,60,8
,Aid,Evocation,5,v,30,0,0
,Antlife Shell,Conjuration,9,v s m,30,60,8
,Arcane Eye,Enchantment,8,v s,60,60,8
,Clone,Abjuration,7,v s,60,0,0
,Arcane Lock,Illusions,5,s,90,90,0
,Aid,Conjuration,4,s,90,90,8
,Gust of Wind,Abjuration,6,s,0,90,0
,Antlife Shell,Divination,10,s,120,30,8
,Hideous Laughter,Enchantment,7,v s m,60,120,1
,Arcane Eye,Conjuration,10,m,30,30,0
,Animate Objects,Transmutation,3,v s m,30,0,0
,Acid Splash,Enchantment,9,s,0,120,8
,Fly,Illusions,4,v s,90,30,10
,Arcane Eye,Enchantment,3,v,120,90,8
,Entangle,Enchantment,3,v s,120,120,8
,Hideous Laughter,Conjuration,8,v s,30,60,1
,Freezing Sphere,Enchantment,6,s,60,90,1
,Aid,Necromancy,2,v,120,0,1
,Prismatic Wall,Abjuration,10,v,120,0,0
,Entangle,Transmutation,4,v,0,120,0
,Enthrall,Necromancy,1,m,0,60,1
,Fireball,Conjuration,8,v,0,0,0
,Beacon of Hope,Evocation,9,v s m,30,120,1
,Hideous Laughter,Transmutation,5,s,90,60,1
,Beacon of Hope,Divination,9,s,60,30,8
,Secret Chest,Divination,6,s,120,0,10
,Color Spray,Necromancy,6,v s,120,120,8
,Bane,Divination,2,m,0,60,10
,Fireball,Conjuration,2,m,90,60,8
,Antimagic Field,Evocation,10,v s,120,30,1
,Sequester,Transmutation,8,v,120,60,10
,Antipathy Sympathy,Necromancy,3,v s m,120,120,8
,Color Spray,Enchantment,2,v s m,30,60,0
,Gust of Wind,Necromancy,5,s,60,120,1
,Harm,Illusions,10,v s,90,30,0
,Animal Friendship,Transmutation,4,s,60,120,8
,Sequester,Abjuration,7,v s,120,0,0
,Antlife Shell,Necromancy,2,v,0,30,8
,Animal Shape,Necromancy,3,v s m,90,0,10
,Clairvoyance,Divination,5,v,90,30,0
,Animal Friendship,Enchantment,9,s,120,30,8
,Animal Messenger,Necromancy,9,v s,0,90,1
,Color Spray,Abjuration,4,v s m,90,0,0
,Enthrall,Illusions,10,v s m,120,60,10
,Animate dead,Divination,5,v s,90,60,10
,Alarm,Evocation,8,v s,0,90,8
,Clairvoyance,Enchantment,9,m,60,60,0
,Animate Objects,Illusions,5,s,60,30,8
,Beacon of Hope,Divination,5,v,30,30,10
,Acid Arrow,Abjuration,6,v s,90,60,10
,Haste,Illusions,2,v,30,90,0
,Clairvoyance,Conjuration,2,s,90,120,0
,Freezing Sphere,Divination,10,v s m,120,30,0
,Clairvoyance,Divination,10,m,120,60,0
,Prismatic Wall,Divination,3,v s m,30,30,0
,Inflict Wounds,Necromancy,6,v s m,60,30,10
,Haste,Illusions,6,v,0,60,1
,Clone,Enchantment,10,s,60,0,10
,Acid Splash,Necromancy,8,s,120,0,1
,Fly,Necromancy,8,v s,30,0,8
,Antimagic Field,Evocation,7,v s m,0,0,8
,Animate dead,Abjuration,5,m,120,0,10
,Animal Shape,Conjuration,8,s,0,0,10
,Antipathy Sympathy,Conjuration,1,s,0,0,0
,Acid Splash,Necromancy,5,v,90,0,1
,Inflict Wounds,Divination,10,v s,30,60,0
,Acid Arrow,Divination,4,v,30,30,10
,Banishment,Transmutation,6,v s,60,120,1
,Antimagic Field,Necromancy,6,v s,30,30,8
,Alarm,Enchantment,10,m,0,60,8
,Harm,Conjuration,4,m,0,60,10
,Beacon of Hope,Enchantment,5,v s m,120,60,10
,Antipathy Sympathy,Abjuration,1,m,60,60,1
,Arcane Lock,Conjuration,7,v s,0,60,8
,Clairvoyance,Abjuration,10,v s,120,120,8
,Alarm,Necromancy,6,v,60,30,8
,Sequester,Transmutation,10,v s,120,60,0
,Inflict Wounds,Abjuration,4,v s,0,60,1
,Clairvoyance,Abjuration,5,s,90,120,1
,Arcane Lock,Conjuration,3,v s,120,60,0
,Harm,Divination,2,m,30,120,10
,Animal Friendship,Transmutation,5,v s,30,120,8
,Fly,Illusions,6,v s,60,60,1
,Antimagic Field,Conjuration,2,v s,120,60,10
,Hideous Laughter,Illusions,4,m,30,90,8
,Arcane Sword,Divination,10,s,60,60,1
,Animal Friendship,Abjuration,5,m,120,90,8
,Antlife Shell,Necromancy,8,m,30,60,1
,Antipathy Sympathy,Illusions,3,v s,60,90,1
,Antipathy Sympathy,Abjuration,6,v s m,120,0,0
,Color Spray,Divination,4,v,90,30,10
,Clairvoyance,Enchantment,6,v,0,60,8
,Clairvoyance,Enchantment,7,v s,60,90,10
,Antipathy Sympathy,Enchantment,1,s,60,120,1
,Acid Splash,Conjuration,10,m,30,0,0
,Antlife Shell,Illusions,10,s,0,120,0
,Secret Chest,Conjuration,5,s,30,0,0
,Animate Objects,Evocation,10,m,30,90,1
,Entangle,Conjuration,3,v,120,120,0
,Gust of Wind,Necromancy,7,s,120,60,0
,Antlife Shell,Divination,10,m,60,0,1
,Bane,Enchantment,4,v s m,120,90,0
,Antlife Shell,Necromancy,4,m,30,60,8
,Antimagic Field,Enchantment,6,s,120,120,1
,Harm,Enchantment,10,v,60,90,0
,Animal Friendship,Conjuration,7,s,0,90,0
,Arcane Hand,Divination,7,v s,30,30,8
,Arcane Eye,Evocation,2,v s,30,0,1
,Alarm,Conjuration,3,s,90,0,1
,Haste,Evocation,8,v s,30,90,0
,Aid,Evocation,3,v s,30,120,10
,Animal Friendship,Divination,9,v,60,120,0
,Haste,Illusions,5,v s m,30,0,8
,Enthrall,Abjuration,2,v s,0,120,1
,Enthrall,Transmutation,2,v s,120,0,1
,Beacon of Hope,Divination,5,m,0,120,1
,Gust of Wind,Illusions,10,m,0,0,10
,Animate dead,Illusions,1,v s m,90,120,0
,Gust of Wind,Illusions,9,v s,90,90,0
,Arcane Hand,Necromancy,9,v s,0,90,0
,Harm,Illusions,7,v s m,0,0,0
,Animate Objects,Conjuration,6,m,0,90,8
,Animal Messenger,Transmutation,4,s,30,120,0
,Arcane Sword,Divination,5,v,0,120,8
,Secret Chest,Necromancy,6,v s,60,0,8
,Banishment,Illusions,4,v s m,0,120,0
,Alter Self,Necromancy,4,v,60,90,8
,Alter Self,Conjuration,6,s,120,30,0
,Harm,Illusions,5,v,30,60,1
,Fly,Transmutation,3,m,30,0,1
,Bane,Divination,10,s,120,60,0
,Arcane Sword,Divination,7,v s m,30,60,8
,Enthrall,Necromancy,4,s,120,120,10
,Antimagic Field,Abjuration,9,s,0,0,1
,Arcane Eye,Illusions,9,s,90,90,10
,Insect Plague,Transmutation,1,v s m,30,0,10
,Freezing Sphere,Evocation,1,m,30,0,1
,Color Spray,Illusions,1,v s,90,0,8
,Color Spray,Abjuration,1,v s m,120,120,8
,Animate Objects,Conjuration,1,v s,30,0,8
,Harm,Necromancy,2,m,120,30,10
,Sequester,Divination,1,m,90,90,10
,Arcane Sword,Evocation,5,v s,120,0,0
,Antipathy Sympathy,Divination,5,v s,0,30,10
,Antimagic Field,Necromancy,6,v s m,60,60,10
,Animal Friendship,Evocation,6,v,60,30,10
,Bane,Necromancy,10,v,90,60,1
,Banishment,Conjuration,8,v s m,0,30,1
,Animal Friendship,Illusions,9,v s,60,120,8
,Arcane Hand,Evocation,7,v s m,0,60,8
,Sequester,Divination,5,m,90,120,10
,Haste,Evocation,9,v s,120,30,8
,Animate Objects,Evocation,2,v s,0,90,8
,Clairvoyance,Transmutation,10,v,90,60,1
,Banishment,Transmutation,1,s,0,120,10
,Color Spray,Transmutation,3,s,30,120,8
,Gust of Wind,Abjuration,1,v,0,0,8
,Beacon of Hope,Divination,1,v s m,120,90,10
,Secret Chest,Transmutation,7,v,90,90,0
,Clairvoyance,Abjuration,5,v s m,60,120,0
,Arcane Lock,Evocation,2,v,30,0,1
,Insect Plague,Abjuration,6,v s m,120,90,10
,Haste,Transmutation,4,v,60,120,1
,Alter Self,Necromancy,6,m,90,120,0
,Aid,Necromancy,8,s,30,120,0
,Animate dead,Abjuration,4,v s,120,0,0
,Antlife Shell,Conjuration,2,s,0,30,1
,Animal Friendship,Necromancy,9,v s m,90,90,8
,Arcane Sword,Enchantment,6,v s,30,60,10
,Alarm,Divination,7,v,0,120,8
,Acid Arrow,Abjuration,5,v s,120,60,8
,Banishment,Transmutation,8,m,120,0,8
,Rope Trick,Conjuration,2,s,30,60,1
,Entangle,Illusions,7,v s m,0,90,10
,Fly,Evocation,3,m,90,30,0
,Antlife Shell,Conjuration,10,v,0,60,1
,Arcane Hand,Conjuration,7,m,60,0,1
,Prismatic Wall,Illusions,8,v s,30,60,10
,Arcane Lock,Enchantment,10,v,120,0,10
,Fly,Transmutation,4,v s m,0,0,0
,Harm,Transmutation,5,m,0,30,10
,Banishment,Necromancy,8,v s,120,90,8
,Sequester,Necromancy,5,m,60,90,0
,Insect Plague,Evocation,10,s,60,120,10
,Animal Shape,Divination,6,v s,120,30,0
,Acid Splash,Divination,5,v,60,30,10
,Hideous Laughter,Conjuration,8,s,120,60,1
,Animate Objects,Enchantment,6,m,30,120,0
,Color Spray,Illusions,9,v,30,60,0
,Banishment,Divination,7,s,90,60,1
,Alarm,Necromancy,5,v,120,30,10
,Haste,Enchantment,5,v,0,0,1
,Arcane Sword,Divination,10,s,90,60,0
,Prismatic Wall,Enchantment,2,v,90,60,10
,Enthrall,Enchantment,7,s,60,60,1
,Entangle,Divination,1,v s,30,60,8
,Bane,Enchantment,5,m,30,0,1
,Aid,Necromancy,4,v,120,60,1
,Animal Friendship,Transmutation,5,s,30,120,0
,Insect Plague,Enchantment,8,m,60,90,1
,Color Spray,Necromancy,10,m,30,60,10
,Antimagic Field,Conjuration,10,v s m,30,60,8
,Secret Chest,Evocation,5,v s,90,30,8
,Insect Plague,Enchantment,9,v,0,90,10
,Gust of Wind,Abjuration,3,v,60,30,8
,Arcane Hand,Divination,1,v,60,0,10
,Rope Trick,Conjuration,4,v,0,120,10
,Antipathy Sympathy,Conjuration,7,v s m,90,120,8
,Inflict Wounds,Transmutation,2,v s m,90,30,0
,Bane,Illusions,3,v s,0,90,1
,Aid,Divination,1,s,90,120,0
,Gust of Wind,Illusions,9,s,30,0,1
,Arcane Eye,Illusions,2,v,90,120,10
,Rope Trick,Enchantment,4,v s m,60,60,10
,Acid Arrow,Abjuration,4,m,30,30,8
,Animate Objects,Abjuration,1,v s m,30,0,8
,Beacon of Hope,Abjuration,2,v s m,30,30,0
,Alter Self,Illusions,4,v s m,60,0,10
,Rope Trick,Necromancy,7,v s m,0,0,0
,Color Spray,Abjuration,3,v s m,120,120,8
,Bane,Abjuration,4,v,0,0,0
,Arcane Eye,Enchantment,4,v s,30,0,10
,Alarm,Transmutation,10,v s m,90,0,0
,Acid Arrow,Necromancy,7,v,30,120,8
,Inflict Wounds,Divination,8,v s m,60,30,0
,Arcane Sword,Illusions,9,v s m,0,60,0
,Haste,Abjuration,1,v,90,60,1
,Freezing Sphere,Illusions,4,v s,30,0,8
,Clairvoyance,Divination,3,v s,0,90,0
,Aid,Abjuration,1,s,60,60,8
,Fireball,Evocation,1,v s,120,0,1
,Freezing Sphere,Illusions,2,m,30,60,10
,Aid,Conjuration,5,v s,60,120,1
,Animal Friendship,Necromancy,4,v s,60,30,8
,Hideous Laughter,Divination,4,v s m,120,120,8
,Acid Splash,Conjuration,3,v s m,30,90,1
,Fireball,Evocation,7,s,120,0,1
,Insect Plague,Transmutation,5,v s m,0,90,8
,Secret Chest,Enchantment,4,s,30,30,1
,Arcane Sword,Transmutation,6,v,60,90,10
,Alter Self,Conjuration,5,s,90,30,0
,Entangle,Enchantment,5,s,0,30,0
,Animal Friendship,Conjuration,6,s,30,120,0
,Acid Arrow,Illusions,8,v s,90,90,0
,Insect Plague,Abjuration,8,s,60,120,10
,Aid,Evocation,7,s,60,90,1
,Harm,Conjuration,7,v s m,0,120,0
,Animate Objects,Enchantment,5,s,60,30,0
,Prismatic Wall,Illusions,6,v,0,60,0
,Arcane Hand,Evocation,7,v s m,30,120,8
,Secret Chest,Conjuration,7,v,60,60,1
,Aid,Abjuration,6,v s m,60,60,8
,Prismatic Wall,Abjuration,1,m,0,90,8
,Color Spray,Abjuration,1,v,0,60,8
,Haste,Divination,5,v s m,120,120,0
,Rope Trick,Evocation,7,v s m,120,30,8
,Animate dead,Enchantment,9,v s,60,30,10
,Antimagic Field,Transmutation,7,v s m,60,0,1
,Bane,Conjuration,4,v s,60,60,8
,Arcane Hand,Necromancy,1,v s,0,30,1
,Banishment,Enchantment,9,m,0,120,8
,Arcane Hand,Necromancy,3,v s,60,60,8
,Prismatic Wall,Illusions,7,m,60,0,8
,Animal Shape,Necromancy,10,m,90,30,10
,Entangle,Conjuration,3,v s,0,90,8
,Sequester,Evocation,10,m,0,90,1
,Harm,Conjuration,2,m,0,30,0
,Animal Shape,Conjuration,8,s,30,0,0
,Secret Chest,Necromancy,5,v,120,60,10
,Insect Plague,Illusions,1,v s m,90,120,0
,Harm,Evocation,2,s,90,90,1
,Animate Objects,Enchantment,3,v s m,30,30,1
,Arcane Sword,Conjuration,2,v s m,90,0,1
,Antimagic Field,Illusions,1,v s,120,120,8
,Inflict Wounds,Evocation,7,v s m,90,90,10
,Beacon of Hope,Transmutation,2,v,0,120,8
,Beacon of Hope,Abjuration,6,v,0,60,8
,Antimagic Field,Illusions,9,v,120,30,1
,Acid Splash,Divination,1,v s m,60,0,10
,Beacon of Hope,Abjuration,8,v,90,0,8
,Sequester,Conjuration,5,s,90,60,8
,Arcane Lock,Evocation,10,v,120,30,0
,Prismatic Wall,Necromancy,2,m,30,90,10
,Haste,Illusions,8,s,30,60,8
,Banishment,Conjuration,4,v s m,30,60,1
,Enthrall,Transmutation,2,v s m,0,120,0
,Animal Shape,Divination,10,v,30,0,0
,Gust of Wind,Enchantment,1,m,120,60,10
,Beacon of Hope,Illusions,5,s,60,60,10
,Alter Self,Necromancy,8,v s m,120,120,8
,Arcane Hand,Enchantment,8,v,30,90,8
,Antlife Shell,Evocation,10,v s,30,30,1
,Inflict Wounds,Conjuration,6,v s m,30,90,8
,Animate dead,Necromancy,6,m,30,30,0
,Animate dead,Enchantment,7,m,0,0,1
,Entangle,Abjuration,9,v,60,0,0
,Fly,Abjuration,2,v,60,90,8
,Animal Messenger,Conjuration,1,s,30,60,1
,Acid Arrow,Enchantment,9,m,30,60,8
,Acid Splash,Divination,10,v,30,120,0
,Beacon of Hope,Conjuration,8,v,120,30,1
,Fly,Necromancy,8,v s m,0,120,10
,Freezing Sphere,Illusions,6,v s,0,0,10
,Alter Self,Transmutation,4,s,60,60,0
,Arcane Hand,Abjuration,6,v,0,0,10
,Arcane Sword,Necromancy,7,m,0,120,0
,Gust of Wind,Evocation,8,v s m,90,0,0
,Insect Plague,Necromancy,7,m,60,0,0
,Clone,Evocation,5,v s m,30,90,1
,Secret Chest,Divination,2,v s m,90,60,1
,Animate Objects,Divination,4,v s m,30,0,8
,Fireball,Abjuration,5,v,120,60,0
,Fly,Transmutation,10,m,120,30,1
,Antipathy Sympathy,Abjuration,8,s,60,60,0
,Hideous Laughter,Abjuration,8,v s,0,120,1
,Acid Arrow,Abjuration,6,s,60,0,8
,Fly,Abjuration,2,v,0,120,8
,Antlife Shell,Necromancy,3,v,30,60,1
,Entangle,Divination,2,s,120,120,1
,Acid Arrow,Enchantment,10,v s,120,30,10
,Fly,Illusions,9,v s,90,60,1
,Arcane Sword,Divination,4,s,0,60,1
,Freezing Sphere,Enchantment,8,v,120,0,10
,Antlife Shell,Illusions,4,m,90,0,10
,Gust of Wind,Transmutation,3,m,120,30,0
,Antipathy Sympathy,Conjuration,6,v,90,30,1
,Secret Chest,Transmutation,9,m,30,30,8
,Fireball,Evocation,7,v,0,0,0
,Arcane Hand,Abjuration,4,v s m,60,0,1
,Animate dead,Illusions,5,v s m,30,30,8
,Freezing Sphere,Divination,8,v s m,120,0,8
,Hideous Laughter,Divination,9,v s m,90,90,8
,Harm,Abjuration,8,v s,60,60,1
,Fly,Divination,6,v s m,120,0,0
,Secret Chest,Abjuration,4,v,120,0,10
