E_ID,Eq_Name,Price
,Backpack,190
,Candle,375
,Wooden Staff,484
,Wand,185
,Candle,732
,Wooden Staff,179
,Antitoxin,167
,Bell,41
,Wooden Staff,874
,Bedroll,217
,Amulet,297
,Antitoxin,739
,Armor,516
,Sling Bullets,145
,Barrel,841
,Abacus,837
,Rod,35
,Yew Wand,21
,Candle,33
,Sling Bullets,806
,Alchemist Fire,270
,Backpack,506
,Bell,294
,Bedroll,272
,Antitoxin,375
,Orb,748
,Weapon,64
,Armor,305
,Bedroll,773
,Reliquary,498
,Wooden Staff,272
,Blanket,470
,Basket,104
,Armor,860
,Sling Bullets,557
,Wand,6
,Candle,258
,Barrel,368
,Totem,39
,Bell,979
,Sling Bullets,185
,Spring Mistletoe,82
,Sling Bullets,245
,Wand,610
,Ball Bearings,834
,Ball Bearings,602
,Abacus,638
,Candle,978
,Wand,160
,Reliquary,999
,Wand,514
,Reliquary,540
,Emblem,836
,Antitoxin,355
,Basket,249
,Arrows,284
,Backpack,443
,Barrel,488
,Blanket,335
,Wooden Staff,401
,Wand,224
,Arrows,266
,Antitoxin,559
,Emblem,685
,Wand,998
,Basket,214
,Bedroll,237
,Amulet,937
,Arrows,560
,Candle,636
,Wooden Staff,164
,Ball Bearings,955
,Orb,55
,Orb,604
,Weapon,893
,Acid,847
,Backpack,918
,Abacus,315
,Weapon,81
,Amulet,402
,Spring Mistletoe,594
,Reliquary,309
,Backpack,155
,Basket,565
,Spring Mistletoe,911
,Blanket,272
,Sling Bullets,248
,Abacus,983
,Barrel,490
,Staff,458
,Reliquary,471
,Abacus,406
,Orb,625
,Wand,718
,Spring Mistletoe,526
,Barrel,297
,Weapon,196
,Crossbow Bolts,337
,Crystal,221
,Antitoxin,729
,Block and Tackle,168
,Orb,436
,Antitoxin,346
,Crystal,28
,Armor,70
,Barrel,241
,Orb,465
,Spring Mistletoe,865
,Totem,730
,Amulet,159
,Candle,203
,Antitoxin,592
,Wooden Staff,580
,Abacus,830
,Crossbow Bolts,821
,Weapon,432
,Emblem,200
,Alchemist Fire,133
,Antitoxin,646
,Spring Mistletoe,561
,Sling Bullets,129
,Sling Bullets,358
,Bedroll,255
,Candle,331
,Reliquary,835
,Sling Bullets,471
,Treasure,534
,Arrows,616
,Spring Mistletoe,712
,Basket,48
,Wooden Staff,201
,Armor,955
,Yew Wand,231
,Sling Bullets,41
,Spring Mistletoe,131
,Wand,612
,Orb,966
,Antitoxin,104
,Barrel,470
,Amulet,943
,Reliquary,419
,Treasure,384
,Antitoxin,365
,Armor,369
,Candle,416
,Barrel,667
,Crystal,711
,Blowgun Needles,912
,Blowgun Needles,923
,Barrel,830
,Wand,149
,Blanket,308
,Abacus,895
,Antitoxin,538
,Barrel,468
,Crystal,829
,Barrel,539
,Block and Tackle,288
,Backpack,683
,Totem,268
,Acid,578
,Ball Bearings,575
,Treasure,858
,Abacus,132
,Crossbow Bolts,889
,Weapon,209
,Candle,968
,Yew Wand,821
,Blowgun Needles,617
,Candle,67
,Alchemist Fire,757
,Basket,867
,Armor,463
,Amulet,506
,Alchemist Fire,424
,Totem,242
,Acid,379
,Totem,944
,Orb,889
,Barrel,544
,Abacus,964
,Staff,617
,Yew Wand,94
,Barrel,229
,Treasure,709
,Candle,191
,Reliquary,134
,Barrel,282
,Wand,103
,Staff,689
,Blanket,132
,Emblem,639
,Acid,355
,Armor,332
,Rod,328
,Spring Mistletoe,500
,Arrows,168
,Spring Mistletoe,359
,Blowgun Needles,956
,Candle,183
,Amulet,990
,Armor,657
,Crossbow Bolts,768
,Antitoxin,333
,Reliquary,787
,Wooden Staff,403
,Acid,696
,Wand,492
,Totem,887
,Sling Bullets,889
,Spring Mistletoe,373
,Blanket,988
,Crystal,42
,Arrows,196
,Wooden Staff,842
,Bedroll,776
,Crossbow Bolts,238
,Totem,892
,Arrows,849
,Orb,795
,Amulet,121
,Wooden Staff,527
,Weapon,219
,Ball Bearings,845
,Blanket,741
,Blanket,345
,Sling Bullets,87
,Ball Bearings,549
,Abacus,719
,Wand,8
,Crossbow Bolts,633
,Rod,727
,Abacus,357
,Antitoxin,948
,Barrel,995
,Wand,447
,Staff,279
,Bell,451
,Armor,80
,Totem,357
,Abacus,493
,Yew Wand,447
,Emblem,745
,Amulet,402
,Acid,251
,Candle,935
,Abacus,586
,Antitoxin,575
,Sling Bullets,536
,Crossbow Bolts,199
,Emblem,721
,Orb,458
,Barrel,237
,Weapon,393
,Arrows,855
,Totem,992
,Acid,338
,Acid,668
,Alchemist Fire,239
,Blanket,149
,Antitoxin,431
,Bell,767
,Bell,742
,Amulet,193
,Alchemist Fire,568
,Staff,573
,Staff,566
,Barrel,649
,Rod,902
,Wand,180
,Amulet,198
,Wooden Staff,535
,Treasure,434
,Bedroll,553
,Acid,669
,Reliquary,605
,Wand,727
,Ball Bearings,975
,Totem,405
,Orb,334
,Blanket,892
,Weapon,443
,Emblem,781
,Yew Wand,627
,Backpack,424
,Bell,178
,Blanket,589
,Sling Bullets,934
,Bell,377
,Antitoxin,714
,Backpack,231
,Ball Bearings,962
,Abacus,417
,Acid,845
,Crossbow Bolts,694
,Wooden Staff,554
,Emblem,863
,Yew Wand,9
,Treasure,760
,Abacus,873
,Armor,147
,Alchemist Fire,995
,Abacus,203
,Sling Bullets,334
,Wooden Staff,761
,Rod,356
,Rod,306
,Sling Bullets,76
,Crystal,663
,Backpack,84
,Acid,784
,Crossbow Bolts,460
,Yew Wand,417
,Bedroll,855
,Orb,575
,Blowgun Needles,72
,Weapon,480
,Armor,869
,Block and Tackle,257
,Acid,171
,Barrel,590
,Wooden Staff,961
,Weapon,654
,Amulet,343
,Reliquary,483
,Blowgun Needles,627
,Wand,439
,Wooden Staff,834
,Crystal,82
,Sling Bullets,76
,Orb,788
,Antitoxin,211
,Abacus,996
,Reliquary,376
,Barrel,381
,Bell,987
,Weapon,785
,Arrows,462
,Abacus,309
,Spring Mistletoe,308
,Weapon,610
,Orb,397
,Treasure,298
,Emblem,802
,Reliquary,107
,Bell,880
,Emblem,547
,Spring Mistletoe,768
,Block and Tackle,602
,Backpack,440
,Totem,291
,Reliquary,468
,Wand,890
,Alchemist Fire,79
,Wand,927
,Yew Wand,258
,Wand,962
,Totem,964
,Wand,993
,Amulet,432
,Barrel,538
,Block and Tackle,963
,Bell,142
,Wooden Staff,817
,Bell,604
,Barrel,545
,Antitoxin,537
,Bedroll,626
,Arrows,597
,Yew Wand,842
,Ball Bearings,126
,Antitoxin,309
,Spring Mistletoe,686
,Antitoxin,493
,Ball Bearings,150
,Yew Wand,959
,Emblem,899
,Block and Tackle,886
,Candle,574
,Amulet,900
,Reliquary,215
,Acid,86
,Crossbow Bolts,888
,Acid,541
,Blowgun Needles,703
,Alchemist Fire,920
,Arrows,620
,Weapon,786
,Alchemist Fire,859
,Blowgun Needles,525
,Ball Bearings,627
,Wooden Staff,49
,Wooden Staff,935
,Weapon,101
,Treasure,661
,Alchemist Fire,288
,Block and Tackle,253
,Backpack,90
,Emblem,722
,Wand,642
,Reliquary,994
,Armor,674
,Wand,651
,Rod,741
,Acid,118
,Arrows,536
,Armor,13
,Backpack,181
,Wand,769
,Wand,752
,Blowgun Needles,682
,Totem,704
,Candle,140
,Barrel,990
,Wand,656
,Bedroll,732
,Treasure,442
,Amulet,72
,Blowgun Needles,270
,Emblem,97
,Orb,598
,Armor,731
,Blanket,776
,Blowgun Needles,476
,Candle,798
,Arrows,20
,Reliquary,646
,Candle,252
,Blowgun Needles,807
,Bedroll,714
,Weapon,747
,Staff,637
,Backpack,584
,Crossbow Bolts,680
,Emblem,291
,Basket,784
,Rod,565
,Emblem,537
,Barrel,978
,Blowgun Needles,783
,Totem,326
,Alchemist Fire,680
,Treasure,716
,Abacus,510
,Acid,992
,Orb,611
,Rod,613
,Wooden Staff,237
,Ball Bearings,580
,Ball Bearings,847
,Reliquary,533
,Arrows,231
,Bell,653
,Staff,268
,Ball Bearings,275
,Sling Bullets,25
,Rod,51
,Acid,200
,Antitoxin,445
,Candle,703
,Treasure,886
,Rod,277
,Wand,592
,Blowgun Needles,830
,Wooden Staff,321
,Amulet,418
,Block and Tackle,672
,Wand,543
,Orb,572
,Wooden Staff,113
,Basket,736
,Weapon,685
,Treasure,24
,Totem,22
,Amulet,500
,Amulet,222
,Wooden Staff,355
,Alchemist Fire,967
,Rod,155
,Staff,785
,Ball Bearings,712
,Wooden Staff,403
,Reliquary,206
,Armor,885
,Weapon,777
,Bell,27
,Crystal,913
,Wand,18
,Alchemist Fire,926
,Wand,733
,Weapon,69
,Backpack,536
,Sling Bullets,425
,Candle,682
,Sling Bullets,502
,Crossbow Bolts,730
,Spring Mistletoe,666
,Treasure,324
,Orb,705
,Alchemist Fire,415
,Emblem,308
,Barrel,696
,Blanket,843
,Ball Bearings,668
,Barrel,905
,Basket,638
,Reliquary,807
,Emblem,224
,Crystal,870
,Weapon,773
,Crossbow Bolts,802
,Block and Tackle,209
,Blanket,422
,Totem,489
,Orb,530
,Amulet,870
,Block and Tackle,379
,Wand,917
,Treasure,458
,Backpack,841
,Sling Bullets,835
,Alchemist Fire,547
,Acid,650
,Alchemist Fire,423
,Blanket,327
,Backpack,277
,Spring Mistletoe,839
,Block and Tackle,377
,Sling Bullets,746
,Abacus,612
,Wooden Staff,587
,Totem,791
,Armor,360
,Blowgun Needles,80
,Arrows,984
,Reliquary,372
,Reliquary,578
,Antitoxin,397
,Barrel,707
,Reliquary,700
,Arrows,501
,Arrows,350
,Barrel,895
,Crystal,23
,Bell,105
,Totem,563
,Block and Tackle,791
,Armor,879
,Abacus,48
,Bedroll,134
,Reliquary,429
,Spring Mistletoe,841
,Weapon,615
,Yew Wand,737
,Armor,623
,Antitoxin,430
,Sling Bullets,72
,Wand,306
,Block and Tackle,229
,Emblem,844
,Spring Mistletoe,273
,Block and Tackle,735
,Antitoxin,834
,Wand,711
,Abacus,173
,Crystal,710
,Bell,216
,Wand,898
,Basket,143
,Wand,380
,Spring Mistletoe,446
,Yew Wand,644
,Yew Wand,460
,Candle,265
,Spring Mistletoe,712
,Acid,753
,Reliquary,652
,Blowgun Needles,17
,Antitoxin,822
,Crossbow Bolts,863
,Orb,426
,Wooden Staff,415
,Armor,113
,Crossbow Bolts,234
,Weapon,317
,Bell,789
,Blowgun Needles,708
,Block and Tackle,678
,Antitoxin,360
,Basket,600
,Ball Bearings,313
,Blowgun Needles,751
,Spring Mistletoe,104
,Yew Wand,686
,Rod,238
,Totem,634
,Treasure,772
,Basket,972
,Totem,318
,Yew Wand,736
,Rod,923
,Crystal,138
,Crystal,490
,Bedroll,96
,Wand,664
,Reliquary,939
,Staff,247
,Barrel,11
,Crossbow Bolts,481
,Emblem,346
,Crystal,806
,Orb,388
,Amulet,194
,Weapon,879
,Candle,842
,Abacus,955
,Emblem,241
,Amulet,308
,Wand,732
,Weapon,838
,Wand,762
,Armor,100
,Barrel,543
,Rod,309
,Reliquary,302
,Abacus,232
,Treasure,268
,Backpack,213
,Alchemist Fire,312
,Block and Tackle,618
,Arrows,828
,Basket,245
,Antitoxin,991
,Treasure,410
,Barrel,281
,Wand,815
,Armor,544
,Acid,956
,Weapon,240
,Abacus,402
,Armor,213
,Reliquary,363
,Armor,537
,Barrel,632
,Abacus,298
,Ball Bearings,777
,Block and Tackle,631
,Crossbow Bolts,401
,Yew Wand,831
,Wooden Staff,586
,Alchemist Fire,597
,Blowgun Needles,945
,Armor,402
,Block and Tackle,339
,Wooden Staff,14
,Wooden Staff,529
,Backpack,736
,Ball Bearings,897
,Alchemist Fire,660
,Rod,519
,Orb,372
,Crossbow Bolts,305
,Backpack,643
,Backpack,744
,Reliquary,371
,Weapon,753
,Arrows,643
,Abacus,105
,Staff,741
,Spring Mistletoe,531
,Abacus,14
,Totem,88
,Rod,461
,Amulet,891
,Blowgun Needles,261
,Abacus,600
,Bell,758
,Orb,712
,Acid,837
,Spring Mistletoe,963
,Alchemist Fire,784
,Bedroll,925
,Orb,920
,Weapon,186
,Rod,840
,Weapon,736
,Bedroll,959
,Bedroll,567
,Crossbow Bolts,43
,Barrel,360
,Alchemist Fire,661
,Wand,409
,Acid,46
,Crystal,853
,Barrel,521
,Reliquary,797
,Abacus,174
,Rod,45
,Bell,130
,Orb,368
,Backpack,946
,Barrel,928
,Yew Wand,127
,Arrows,249
,Blowgun Needles,924
,Spring Mistletoe,661
,Treasure,924
,Bedroll,580
,Emblem,416
,Rod,166
,Wooden Staff,529
,Armor,468
,Arrows,131
,Orb,603
,Armor,126
,Ball Bearings,186
,Treasure,494
,Crossbow Bolts,208
,Arrows,484
,Alchemist Fire,269
,Blowgun Needles,867
,Crossbow Bolts,320
,Bedroll,358
,Armor,757
,Armor,372
,Acid,77
,Arrows,595
,Staff,467
,Spring Mistletoe,514
,Barrel,575
,Antitoxin,236
,Spring Mistletoe,730
,Blanket,252
,Armor,609
,Acid,903
,Crossbow Bolts,706
,Block and Tackle,977
,Acid,653
,Crystal,894
,Orb,445
,Abacus,633
,Rod,886
,Spring Mistletoe,557
,Arrows,438
,Backpack,229
,Amulet,31
,Alchemist Fire,616
,Reliquary,927
,Weapon,556
,Orb,760
,Orb,602
,Arrows,507
,Crystal,875
,Candle,171
,Crystal,559
,Wooden Staff,73
,Candle,851
,Sling Bullets,692
,Treasure,207
,Weapon,302
,Backpack,71
,Yew Wand,216
,Acid,343
,Rod,514
,Blowgun Needles,646
,Wooden Staff,975
,Ball Bearings,569
,Backpack,521
,Totem,383
,Staff,57
,Candle,29
,Candle,530
,Antitoxin,953
,Bell,399
,Antitoxin,531
,Alchemist Fire,770
,Blowgun Needles,123
,Reliquary,782
,Crystal,565
,Amulet,269
,Arrows,430
,Acid,248
,Alchemist Fire,893
,Sling Bullets,461
,Rod,716
,Armor,354
,Armor,984
,Ball Bearings,480
,Emblem,41
,Abacus,103
,Arrows,336
,Spring Mistletoe,417
,Weapon,335
,Blowgun Needles,86
,Acid,298
,Blanket,966
,Treasure,441
,Candle,192
,Ball Bearings,155
,Spring Mistletoe,117
,Bedroll,998
,Ball Bearings,472
,Weapon,495
,Bedroll,968
,Emblem,553
,Rod,429
,Bedroll,5
,Blowgun Needles,958
,Emblem,271
,Alchemist Fire,490
,Rod,154
,Backpack,355
,Alchemist Fire,381
,Backpack,488
,Bell,975
,Sling Bullets,462
,Blanket,752
,Arrows,16
,Armor,201
,Weapon,841
,Arrows,545
,Orb,669
,Reliquary,646
,Backpack,486
,Blanket,794
,Blanket,500
,Ball Bearings,631
,Candle,777
,Spring Mistletoe,4
,Staff,526
,Armor,673
,Orb,144
,Basket,45
,Amulet,785
,Abacus,986
,Rod,735
,Staff,766
,Armor,376
,Spring Mistletoe,191
,Wooden Staff,132
,Bedroll,922
,Totem,412
,Wooden Staff,823
,Weapon,221
,Armor,355
,Backpack,821
,Wooden Staff,35
,Arrows,215
,Wand,338
,Bedroll,419
,Bedroll,139
,Treasure,597
,Antitoxin,239
,Backpack,879
,Blowgun Needles,628
,Abacus,813
,Bedroll,695
,Candle,701
,Basket,285
,Crystal,177
,Alchemist Fire,293
,Backpack,439
,Wooden Staff,284
,Ball Bearings,606
,Wand,20
,Ball Bearings,803
,Alchemist Fire,286
,Totem,733
,Blanket,214
,Antitoxin,877
,Block and Tackle,465
,Armor,719
,Spring Mistletoe,536
,Arrows,212
,Blanket,159
,Block and Tackle,960
,Yew Wand,15
,Barrel,341
,Arrows,764
,Spring Mistletoe,619
,Crystal,813
,Emblem,318
,Barrel,611
,Blanket,94
,Blanket,5
,Wand,196
,Emblem,173
,Sling Bullets,761
,Wooden Staff,521
,Emblem,276
,Barrel,617
,Sling Bullets,595
,Yew Wand,614
,Ball Bearings,31
,Staff,856
,Spring Mistletoe,133
,Candle,918
,Treasure,553
,Basket,561
,Abacus,170
,Orb,571
,Staff,741
,Treasure,314
,Bell,42
,Crystal,707
,Alchemist Fire,492
,Yew Wand,528
,Sling Bullets,358
,Staff,332
,Acid,7
,Arrows,153
,Barrel,629
,Antitoxin,67
,Yew Wand,403
,Candle,918
,Ball Bearings,793
,Blanket,292
,Acid,237
,Totem,167
,Alchemist Fire,307
,Barrel,224
,Rod,747
,Treasure,273
,Alchemist Fire,563
,Candle,414
,Wooden Staff,956
,Totem,42
,Wand,869
,Orb,783
,Wand,759
,Totem,293
,Bedroll,268
,Bedroll,883
,Orb,228
,Amulet,206
,Rod,309
,Spring Mistletoe,995
,Totem,672
,Barrel,441
,Weapon,143
,Yew Wand,836
,Candle,981
,Arrows,872
,Candle,38
,Block and Tackle,971
,Amulet,677
,Alchemist Fire,827
