Race_ID,Race_Name,Size,Language,Abilities,Traits,Sub_races
,Protector Aasimar,Medium,Elvish,Endurance,Touch of Elune,Titanborn
,Eladrin ToF,Small,Aquan,Bluff,Escape Artist,Dragon Child
,Human,Medium,Celestial,Insight,Nimble Fingers,Arcadian
,Tabaxi,Tiny,Celestial,Athletics,Wisp Spirit, Burly Halfling
,Minotaur,Medium,Ignan,Streetwise,Every Man for Himself,Titanborn
,Fire Genasi,Small,Draconic,Bluff,Draenei,Dragon Child
,Fire Genasi,Medium,Infernal,Dungeoneering,Arcane Resistance,Mothra Aasimar
,Fire Genasi,Large,Goblin,Bluff,Escape Artist,Firebeard Dwarf
,Fire Genasi,Huge,Druidic,Thievery, Shadow Meld,Mothra Aasimar
,Hill Dwarf,Huge,Abyssal,Heal,Heroic Presence,Reaper Aasimar
,Scourge Aasimar,Small,Deep Speech,Thievery,Shadow Resistence, Burly Halfling
,Mountain Dwarf,Medium,Auran,Diplomacy,The Human Spirit, Zombie
,Fallen Aasimar,Small,Undercommon,Endurance,Explorer,Winger Aasimar
,Human 1 inspo,Medium,Common,Bluff,Gift of the Naaru,Volcano Dwarf
,Human,Large,Gnoll,Streetwise,Heroic Presence,Mothra Aasimar
,Half-Elf,Large,Primordial,Thievery,Shadow Resistence,Brae Dwarf
,Rock Gnome,Large,Deep Speech,Endurance,Draenei,Half Dragon
,Protector Aasimar,Small,Ignan,Arcana,Diplomacy,Sunfire Elf
,Protector Aasimar,Huge,Druidic,Nature,Touch of Elune, Burly Halfling
,Lightfoot Halfling,Medium,Elvish,Arcana,Wisp Spirit,Deep Dwarf
,Half-Dark Elf,Medium,Orc,Athletics,Wisp Spirit,Mothra Aasimar
,Tabaxi,Huge,Halfling,Athletics,Nature Resistence,Half-Celestial
,Dragonborn,Gargantuan,Primordial,Intimidate,Arcane Resistance,Elemental Born
,Human,Small,Ignan,Athletics,Draenei,Holy Elf
,Minotaurus,Tiny,Abyssal,Diplomacy,Escape Artist,Dragon Elf
,Forest Gnome,Huge,Halfling,Heal,Quickness,Dragon Child
,Wood Elf,Small,Primordial,Endurance,The Human Spirit,Holy Elf
,Half-Orc,Huge,Primordial,Streetwise,Diplomacy,Sunfire Elf
,Stout Halfling,Tiny,Druidic,Nature,Shadow Resistence,Volcano Dwarf
,Human,Gargantuan,Abyssal,Heal,Engineering Specialist,Arcadian
,Mountain Dwarf,Medium,Infernal,Arcana,The Human Spirit,Deep Dwarf
,Tiefling,Tiny,Infernal,Intimidate,Wisp Spirit,Volcano Dwarf
,Half-Elf (Wood),Gargantuan,Gnoll,Bluff,Might of the Mountain,Half-Celestial
,Half-Elf,Small,Elvish,Bluff,Diplomacy,Brae Dwarf
,Turtle,Medium,Ignan,Nature,Shadow Resistence,Dragon Elf
,Turtle,Tiny,Elvish,Thievery,Every Man for Himself, Burly Halfling
,Lightfoot Halfling,Gargantuan,Elvish,Streetwise,Escape Artist,Elemental Born
,Human,Medium,Abyssal,Diplomacy,Escape Artist,Dragon Child
,Turtle,Large,Infernal,Athletics,Escape Artist,Mothra Aasimar
,Forest Gnome,Huge,Abyssal,Dungeoneering,Gift of the Naaru,Sunfire Elf
,Tabaxi,Tiny,Goblin,Intimidate,The Human Spirit,Fey Heritage
,Hill Dwarf,Gargantuan,Ignan,Insight,Escape Artist,Crystal Born
,Human,Medium,Deep Speech,Stealth,Touch of Elune,Titanborn
,Dragonborn,Tiny,Aquan,Diplomacy,Every Man for Himself,Dragon Child
,High Elf,Tiny,Primordial,Insight,Draenei,Winger Aasimar
,Lineage - Meph,Large,Druidic,Athletics,Diplomacy, Burly Halfling
,Eladrin ToF,Gargantuan,Deep Speech,Religion,Heroic Presence,Half Dragon
,Tiefling,Huge,Draconic,Religion,Stone Form,Volcano Dwarf
,Deep Gnome,Small,Sylvan,Streetwise,Wisp Spirit,Sunfire Elf
,Deep Gnome,Gargantuan,Undercommon,Religion,Quickness,Elemental Born
,Deep Gnome,Medium,Orc,Nature,Frost Resistance,Arcadian
,Deep Gnome,Medium,Common,Insight,Touch of Elune,Dragon Elf
,Deep Gnome,Medium,Druidic,Dungeoneering,Engineering Specialist, Zombie
,Half-Elf,Medium,Terran,Insight,Quickness,Dragon Elf
,Forest Gnome,Gargantuan,Celestial,Stealth,Heroic Presence,Mothra Aasimar
,Dragonborn,Tiny,Infernal,Religion, Shadow Meld,Urban Elf
,Aarakocra,Tiny,Abyssal,Thievery,Might of the Mountain,Dragon Child
,Tabaxi,Tiny,Gnomish,Religion,Nature Resistence, Zombie
,Goliath,Medium,Giant,Thievery,Gem Cutting,Winger Aasimar
,Lightfoot Halfling,Tiny,Ignan,Religion,Nature Resistence,Titanborn
,Human,Medium,Gnomish,Thievery,Might of the Mountain,Dragon Elf
,Human,Medium,Dravish,Dungeoneering,Shadow Resistence,Half-Celestial
,Human,Huge,Ignan,Nature,Escape Artist,Crystal Born
,Tiefling,Tiny,Common,Arcana,Nature Resistence,Mothra Aasimar
,Rock Gnome,Gargantuan,Draconic,Stealth, Expansive Mind,Crystal Born
,Human,Tiny,Sylvan,Thievery,Escape Artist,Fey Heritage
,Lightfoot Halfling,Gargantuan,Sylvan,Religion,Draenei,Firebeard Dwarf
,Dragonborn,Huge,Terran,Streetwise, Expansive Mind,Firebeard Dwarf
,Lightfoot Halfling,Huge,Undercommon,Dungeoneering,Engineering Specialist,Dragon Elf
,Tabaxi,Gargantuan,Druidic,Streetwise,Quickness,Titanborn
,Human,Small,Primordial,Thievery,Might of the Mountain,Half-Celestial
,Forest Gnome,Tiny,Primordial,Athletics,Draenei,Crystal Born
,Wood Elf,Huge,Elvish,Religion,Escape Artist,Half-Celestial
,Half-Orc,Small,Aquan,Athletics,Escape Artist,Elemental Born
,Birdfolk,Tiny,Terran,Thievery,Frost Resistance, Zombie
,Lineage - Levi,Gargantuan,Draconic,Stealth,Nimble Fingers,Elemental Born
,Rock Gnome,Huge,Auran,Religion,Shadow Resistence,Firebeard Dwarf
,Air Genasi,Gargantuan,Sylvan,Thievery,Gift of the Naaru,Half Dragon
,Human,Medium,Gnoll,Athletics,Gem Cutting,Firebeard Dwarf
,Aarakocra,Tiny,Dravish,Athletics,Quickness,Arcadian
,Storm,Tiny,Orc,Stealth,Gem Cutting,Half-Celestial
,Goblin,Large,Draconic,Nature,Every Man for Himself, Burly Halfling
,Goblin,Medium,Halfling,Bluff,Engineering Specialist,Deep Dwarf
,Warforged,Large,Ignan,Bluff,Gift of the Naaru, Zombie
,Goliath,Large,Terran,Bluff,Might of the Mountain,Crystal Born
,Human,Gargantuan,Common,Religion,Diplomacy,Volcano Dwarf
,Dragonborn,Large,Gnoll,Arcana,Nimble Fingers,Mothra Aasimar
,Human,Small,Gnoll,Diplomacy,Quickness,Urban Elf
,Dragonborn,Tiny,Primordial,Endurance,Wisp Spirit,Dragon Elf
,High Elf,Small,Infernal,Endurance,Explorer,Volcano Dwarf
,Hill Dwarf,Small,Gnoll,Thievery, Expansive Mind,Deep Dwarf
,Deep Gnome,Large,Druidic,Intimidate,Heroic Presence,Reaper Aasimar
,Turtle,Large,Primordial,Streetwise,The Human Spirit,Crystal Born
,Lizardfolk,Gargantuan,Primordial,Nature, Shadow Meld,Volcano Dwarf
,Kobold,Tiny,Dravish,Dungeoneering,Every Man for Himself,Reaper Aasimar
,Kobold,Huge,Elvish,Diplomacy,Gem Cutting,Half-Celestial
,Firbolg,Tiny,Dravish,Bluff,Diplomacy,Dragon Elf
,Variant,Gargantuan,Elvish,Intimidate,Frost Resistance,Deep Dwarf
,Variant,Small,Elvish,Intimidate,Nature Resistence,Titanborn
,Dragonborn,Large,Goblin,Bluff,Heroic Presence,Dragon Elf
,Fallen Aasimar,Small,Orc,Nature,Explorer,Dragon Elf
,Tabaxi,Medium,Draconic,Streetwise,Nature Resistence,Elemental Born
,Dragonborn,Small,Goblin,Diplomacy,Frost Resistance,Elemental Born
,High Elf,Gargantuan,Orc,Bluff,Gift of the Naaru,Urban Elf
,Tabaxi,Tiny,Auran,Athletics,Wisp Spirit,Holy Elf
,Lineage - Levi,Large,Ignan,Endurance,Diplomacy,Brae Dwarf
,Scourge Aasimar,Medium,Gnomish,Streetwise,Every Man for Himself,Crystal Born
,Half-Elf,Huge,Auran,Stealth,Escape Artist,Urban Elf
,Tiefling,Gargantuan,Auran,Heal,Gift of the Naaru, Burly Halfling
,Lineage - Fier,Huge,Elvish,Heal,Might of the Mountain,Sunfire Elf
,Variant,Tiny,Undercommon,Religion,Gem Cutting,Half Dragon
,Rock Gnome,Huge,Goblin,Bluff,Quickness,Firebeard Dwarf
,Tabaxi,Medium,Goblin,Nature,Nimble Fingers, Burly Halfling
,Half-Orc,Gargantuan,Celestial,Intimidate,Might of the Mountain,Deep Dwarf
,Dragonborn,Large,Infernal,Religion,Elusivness,Dragon Elf
,Firbolg,Medium,Goblin,Bluff,The Human Spirit,Titanborn
,Tabaxi,Huge,Gnomish,Arcana,Wisp Spirit,Brae Dwarf
,Dragonborn,Huge,Elvish,Thievery,Arcane Resistance,Volcano Dwarf
,Ghastly Halfling,Tiny,Elvish,Heal,Wisp Spirit,Elemental Born
,Human,Small,Common,Religion,Engineering Specialist,Mothra Aasimar
,Wood Elf,Small,Draconic,Thievery,Escape Artist,Mothra Aasimar
,Aasimar,Small,Gnomish,Religion,Wisp Spirit,Winger Aasimar
,Dragonborn,Gargantuan,Halfling,Religion,Frost Resistance,Fey Heritage
,Dark Elf,Large,Terran,Dungeoneering,Heroic Presence,Reaper Aasimar
,Tiefling,Small,Goblin,Religion,Gem Cutting,Deep Dwarf
,Human,Gargantuan,Orc,Heal,Every Man for Himself,Dragon Elf
,Minotaur,Medium,Sylvan,Diplomacy,Nature Resistence,Elemental Born
,Fire Genasi,Large,Goblin,Arcana,Nature Resistence,Crystal Born
,Wood Elf,Tiny,Common,Bluff,Shadow Resistence,Dragon Child
,Sprite Lord,Tiny,Ignan,Bluff,Touch of Elune,Firebeard Dwarf
,Sprite Lord,Medium,Ignan,Nature,Might of the Mountain,Fey Heritage
,Wood Elf,Gargantuan,Celestial,Thievery, Expansive Mind,Firebeard Dwarf
,High Elf,Gargantuan,Goblin,Dungeoneering,Engineering Specialist, Burly Halfling
,Goliath,Gargantuan,Gnoll,Nature,Engineering Specialist,Reaper Aasimar
,Minotaur,Huge,Gnomish,Bluff,Quickness,Mothra Aasimar
,Mountain Dwarf,Medium,Halfling,Streetwise,Nature Resistence,Mothra Aasimar
,Human,Huge,Draconic,Bluff,Might of the Mountain,Crystal Born
,Half-Elf,Tiny,Aquan,Religion,Nimble Fingers,Half Dragon
,High Elf,Huge,Draconic,Bluff,Stone Form,Half-Celestial
,Eladrin DMG,Small,Terran,Intimidate, Expansive Mind,Urban Elf
,Half-Elf,Large,Halfling,Insight,Draenei,Dragon Elf
,Mountain Dwarf,Huge,Deep Speech,Arcana,The Human Spirit,Mothra Aasimar
,Half-Orc,Large,Aquan,Insight, Shadow Meld,Brae Dwarf
,Tabaxi,Large,Druidic,Streetwise,Explorer,Volcano Dwarf
,Rock Gnome,Medium,Elvish,Religion,Engineering Specialist,Crystal Born
,Ghastly Halfling,Medium,Halfling,Heal,Quickness,Brae Dwarf
,Dragonborn,Small,Auran,Endurance,Diplomacy,Reaper Aasimar
,Human,Huge,Elvish,Bluff,Gem Cutting,Crystal Born
,Tiefling,Medium,Primordial,Religion, Expansive Mind,Mothra Aasimar
,Shadow Elf,Small,Gnoll,Streetwise,Might of the Mountain,Half Dragon
,Human,Large,Orc,Streetwise,Escape Artist,Crystal Born
,Human,Gargantuan,Orc,Arcana,Nature Resistence, Burly Halfling
,Human,Tiny,Halfling,Stealth,Gift of the Naaru,Fey Heritage
,Human,Gargantuan,Common,Insight, Shadow Meld,Crystal Born
,Lightfoot Halfling,Gargantuan,Gnomish,Heal, Expansive Mind,Brae Dwarf
,Dark Elf,Huge,Orc,Stealth,Escape Artist,Half Dragon
,Lineage - Disp,Large,Orc,Endurance,Explorer,Reaper Aasimar
,Mountain Dwarf,Medium,Gnoll,Dungeoneering,Stone Form,Holy Elf
,Human,Large,Giant,Athletics,Heroic Presence,Titanborn
,Tabaxi,Gargantuan,Giant,Thievery, Shadow Meld,Dragon Elf
,Scourge Aasimar,Gargantuan,Infernal,Thievery,Might of the Mountain, Burly Halfling
,Wood Elf,Large,Aquan,Bluff, Shadow Meld,Deep Dwarf
,Lizardfolk,Small,Druidic,Nature,Every Man for Himself,Firebeard Dwarf
,Half-Orc,Tiny,Deep Speech,Bluff, Expansive Mind,Half Dragon
,Human,Tiny,Ignan,Heal,Escape Artist,Reaper Aasimar
,Tiefling,Huge,Primordial,Stealth,Explorer,Reaper Aasimar
,Tabaxi,Gargantuan,Elvish,Dungeoneering,Draenei,Half-Celestial
,Mountain Dwarf,Tiny,Halfling,Heal,Touch of Elune,Brae Dwarf
,Tiefling,Gargantuan,Elvish,Arcana,Might of the Mountain,Deep Dwarf
,Human,Tiny,Common,Religion,Wisp Spirit,Fey Heritage
,Aarakocra,Tiny,Infernal,Nature,Engineering Specialist,Urban Elf
,Half-Orc,Medium,Gnomish,Streetwise,Explorer,Sunfire Elf
,Wood Elf,Medium,Undercommon,Heal,Explorer,Brae Dwarf
,Human,Gargantuan,Draconic,Endurance,Escape Artist,Crystal Born
,Human,Large,Gnomish,Nature,Escape Artist,Half Dragon
,Variant,Huge,Common,Heal,Touch of Elune,Urban Elf
,Humana,Tiny,Deep Speech,Dungeoneering,Touch of Elune, Zombie
,Humana,Small,Orc,Athletics,Nature Resistence,Reaper Aasimar
,Human,Medium,Dravish,Intimidate,Arcane Resistance,Arcadian
,Healing,Tiny,Gnomish,Heal,Diplomacy,Dragon Elf
,Forest Gnome,Huge,Sylvan,Athletics,Heroic Presence,Urban Elf
,Hill Dwarf,Gargantuan,Aquan,Heal,Gem Cutting,Crystal Born
,Human,Huge,Goblin,Streetwise,Stone Form,Half Dragon
,Fire Genasi,Gargantuan,Druidic,Stealth,Quickness,Winger Aasimar
,Warforged,Gargantuan,Gnomish,Intimidate,Nature Resistence, Zombie
,Human,Huge,Auran,Dungeoneering,Engineering Specialist,Arcadian
,Serpentblood,Medium,Primordial,Thievery,Wisp Spirit,Dragon Child
,Human,Gargantuan,Giant,Arcana,Arcane Resistance,Elemental Born
,Human,Gargantuan,Goblin,Endurance,Heroic Presence,Reaper Aasimar
,Human,Tiny,Aquan,Endurance,Engineering Specialist,Half Dragon
,Warforged,Gargantuan,Sylvan,Heal,Explorer,Half-Celestial
,Wood Elf,Large,Terran,Dungeoneering,Gift of the Naaru,Crystal Born
,Dragonborn,Medium,Primordial,Stealth,Touch of Elune,Reaper Aasimar
,Wood Elf,Gargantuan,Aquan,Nature,Every Man for Himself,Holy Elf
,Human,Small,Druidic,Arcana,Wisp Spirit, Burly Halfling
,Tiefling,Huge,Abyssal,Religion,Touch of Elune,Dragon Elf
,Human,Small,Elvish,Bluff,Nimble Fingers,Arcadian
,Blefus,Gargantuan,Orc,Stealth,Heroic Presence,Dragon Child
,Krijg,Large,Terran,Dungeoneering,Frost Resistance,Winger Aasimar
,Human,Tiny,Gnomish,Nature,Nimble Fingers,Sunfire Elf
,Oryk,Tiny,Terran,Religion,Heroic Presence,Sunfire Elf
,Variant,Large,Gnoll,Stealth,Frost Resistance,Titanborn
,Tabaxi,Tiny,Ignan,Athletics,Nimble Fingers,Arcadian
,Human,Medium,Primordial,Heal,Engineering Specialist,Winger Aasimar
,Human,Large,Goblin,Stealth,The Human Spirit,Mothra Aasimar
,Half-Elf,Gargantuan,Gnomish,Diplomacy,Touch of Elune,Volcano Dwarf
,Wood Elf,Large,Aquan,Bluff,The Human Spirit,Titanborn
,Wood Elf,Small,Draconic,Diplomacy,Stone Form,Winger Aasimar
,Human,Huge,Gnomish,Heal,Quickness,Half Dragon
,Human,Huge,Deep Speech,Religion,Might of the Mountain,Winger Aasimar
,Human,Medium,Giant,Insight,Explorer,Elemental Born
,Half-Elf,Tiny,Goblin,Thievery, Shadow Meld,Half-Celestial
,Goblin,Huge,Halfling,Nature,Frost Resistance,Half-Celestial
,Hill Dwarf,Tiny,Giant,Thievery, Shadow Meld,Urban Elf
,Human,Huge,Gnomish,Diplomacy,Touch of Elune,Firebeard Dwarf
,Half-Orc,Tiny,Sylvan,Arcana,Engineering Specialist,Fey Heritage
,Forest Gnome,Medium,Deep Speech,Religion,The Human Spirit,Reaper Aasimar
,Triton,Large,Halfling,Heal,Touch of Elune,Fey Heritage
,Half-Elf,Medium,Undercommon,Bluff,The Human Spirit,Elemental Born
,Human,Huge,Gnomish,Bluff,Engineering Specialist,Winger Aasimar
,Firbolg,Tiny,Deep Speech,Endurance,Gift of the Naaru,Urban Elf
,Lineage - Levi,Tiny,Undercommon,Religion,Heroic Presence,Half Dragon
,Half-Dark Elf,Large,Dravish,Stealth,Elusivness,Fey Heritage
,Human,Medium,Elvish,Thievery,Explorer, Zombie
,Rock Gnome,Tiny,Halfling,Thievery,Elusivness,Winger Aasimar
,Forest Gnome,Medium,Auran,Insight,Frost Resistance,Holy Elf
,Minotaurus,Tiny,Undercommon,Arcana,Quickness,Sunfire Elf
,Wood Elf,Tiny,Giant,Diplomacy,The Human Spirit,Dragon Child
,Human,Gargantuan,Infernal,Nature,Might of the Mountain,Firebeard Dwarf
,Human,Gargantuan,Draconic,Arcana,Explorer,Arcadian
,Wood Elf,Medium,Terran,Endurance,Frost Resistance,Dragon Elf
,Human,Gargantuan,Deep Speech,Athletics,Elusivness,Titanborn
,Human,Tiny,Dravish,Streetwise,Stone Form,Fey Heritage
,Turtle,Huge,Draconic,Nature,Gift of the Naaru,Fey Heritage
,Humana,Huge,Goblin,Intimidate,Wisp Spirit,Fey Heritage
,Humana,Small,Sylvan,Dungeoneering,Frost Resistance,Winger Aasimar
,Human,Tiny,Orc,Thievery,Escape Artist, Zombie
,Half-Elf,Huge,Dravish,Intimidate,Gem Cutting,Half Dragon
,Half-Elf,Small,Halfling,Stealth,Gift of the Naaru,Half Dragon
,Mountain Dwarf,Huge,Orc,Dungeoneering,Arcane Resistance,Arcadian
,High Elf,Gargantuan,Undercommon,Athletics,Explorer,Half Dragon
,Fallen Aasimar,Medium,Gnomish,Insight,Nature Resistence,Winger Aasimar
,Human,Medium,Druidic,Streetwise,Every Man for Himself,Sunfire Elf
,Tabaxi,Large,Druidic,Bluff,Stone Form,Sunfire Elf
,Human,Small,Undercommon,Streetwise,Every Man for Himself,Half Dragon
,Firbolg,Medium,Auran,Athletics,Arcane Resistance, Burly Halfling
,Dragonborn,Large,Halfling,Diplomacy,Elusivness,Volcano Dwarf
,Tiefling,Large,Primordial,Diplomacy,Heroic Presence, Zombie
,High Elf,Small,Sylvan,Athletics,Shadow Resistence,Mothra Aasimar
,Variant,Large,Terran,Heal,Might of the Mountain,Half Dragon
,Warforged,Small,Infernal,Nature, Expansive Mind, Burly Halfling
,Turtle,Huge,Elvish,Nature,Diplomacy,Dragon Child
,Mountain Dwarf,Tiny,Sylvan,Dungeoneering,Shadow Resistence,Holy Elf
,Half-Orc,Large,Elvish,Heal,Diplomacy,Reaper Aasimar
,Human,Large,Aquan,Heal,Elusivness,Fey Heritage
,Lightfoot Halfling,Small,Celestial,Streetwise,Engineering Specialist,Dragon Elf
,High Elf,Huge,Druidic,Heal, Expansive Mind,Reaper Aasimar
,Human,Tiny,Undercommon,Intimidate,Wisp Spirit,Arcadian
,Air Genasi,Gargantuan,Draconic,Bluff,Every Man for Himself, Burly Halfling
,Air Genasi,Medium,Draconic,Diplomacy,Nature Resistence,Dragon Elf
,Warforged,Tiny,Sylvan,Streetwise,Nimble Fingers,Volcano Dwarf
,Human,Medium,Elvish,Stealth,Every Man for Himself, Zombie
,Human,Tiny,Druidic,Stealth,Wisp Spirit,Holy Elf
,Warforged,Small,Abyssal,Arcana,Might of the Mountain,Deep Dwarf
,Human,Tiny,Elvish,Intimidate,The Human Spirit,Deep Dwarf
,Human,Medium,Common,Bluff,Draenei, Zombie
,High Elf,Tiny,Auran,Athletics,Heroic Presence,Firebeard Dwarf
,Human,Medium,Orc,Thievery,Nimble Fingers,Dragon Child
,Wood Elf,Large,Goblin,Endurance,Stone Form,Reaper Aasimar
,Human,Tiny,Elvish,Nature,Might of the Mountain,Titanborn
,Human,Large,Draconic,Nature,Elusivness,Volcano Dwarf
,Goblin,Large,Druidic,Arcana,Arcane Resistance,Deep Dwarf
,Lizardfolk,Small,Aquan,Thievery,Gem Cutting,Mothra Aasimar
,Lizardfolk,Tiny,Dravish,Athletics,Stone Form,Sunfire Elf
,Lineage - Meph,Tiny,Deep Speech,Streetwise,Shadow Resistence, Burly Halfling
,Scourge Aasimar,Gargantuan,Orc,Dungeoneering,Heroic Presence,Winger Aasimar
,Changeling,Gargantuan,Abyssal,Thievery,Arcane Resistance,Mothra Aasimar
,Tiefling,Tiny,Auran,Intimidate,Wisp Spirit,Winger Aasimar
,Dragonborn,Huge,Goblin,Nature,Stone Form, Zombie
,Goliath,Medium,Undercommon,Dungeoneering,Every Man for Himself,Volcano Dwarf
,Tabaxi,Medium,Primordial,Heal,Gem Cutting,Volcano Dwarf
,Tabaxi,Small,Draconic,Insight,Nature Resistence,Half-Celestial
,Lizardfolk,Small,Dravish,Streetwise,Elusivness,Firebeard Dwarf
,Turtle,Large,Celestial,Arcana,Stone Form,Half Dragon
,Jackalfolk,Small,Abyssal,Heal,Escape Artist,Brae Dwarf
,Wood Elf,Small,Common,Stealth,Gift of the Naaru,Half Dragon
,Tabaxi,Tiny,Gnomish,Intimidate,Stone Form,Holy Elf
,Wood Elf,Huge,Aquan,Endurance,Gift of the Naaru,Firebeard Dwarf
,Minotaur,Medium,Auran,Diplomacy,Shadow Resistence,Reaper Aasimar
,Wood Elf,Gargantuan,Gnoll,Diplomacy,Escape Artist,Half-Celestial
,Wood Elf,Gargantuan,Celestial,Streetwise,Stone Form,Urban Elf
,High Elf,Medium,Ignan,Nature,Arcane Resistance,Urban Elf
,High Elf,Medium,Druidic,Athletics,Explorer,Winger Aasimar
,Wood Elf,Small,Druidic,Stealth,Gift of the Naaru,Brae Dwarf
,Goliath,Medium,Deep Speech,Heal,Quickness,Holy Elf
,Half-Elf,Huge,Abyssal,Arcana,Nature Resistence,Mothra Aasimar
,Wood Elf,Tiny,Gnoll,Heal,Might of the Mountain,Elemental Born
,Mountain Dwarf,Gargantuan,Dravish,Heal,Diplomacy,Elemental Born
,Hill Dwarf,Gargantuan,Sylvan,Dungeoneering,Escape Artist,Reaper Aasimar
,Tabaxi,Tiny,Elvish,Diplomacy,Every Man for Himself,Fey Heritage
,Birdfolk,Large,Primordial,Religion,Heroic Presence,Half-Celestial
,Turtle,Small,Terran,Stealth,Draenei,Winger Aasimar
,Turtle,Small,Halfling,Intimidate,Engineering Specialist,Urban Elf
,Hill Dwarf,Tiny,Goblin,Stealth,Diplomacy,Mothra Aasimar
,Ghastly Halfling,Gargantuan,Celestial,Arcana,Arcane Resistance,Crystal Born
,Protector Aasimar,Huge,Giant,Insight,Stone Form,Reaper Aasimar
,Human,Tiny,Ignan,Stealth,Elusivness,Reaper Aasimar
,Making Mark Human,Gargantuan,Primordial,Insight,Engineering Specialist,Mothra Aasimar
,Serpentblood,Tiny,Primordial,Heal,Wisp Spirit,Dragon Child
,Firbolg,Small,Draconic,Nature,Stone Form,Deep Dwarf
,Goblin,Huge,Undercommon,Nature,Draenei,Firebeard Dwarf
,Mountain Dwarf,Large,Sylvan,Religion,Diplomacy,Holy Elf
,Dark Elf,Small,Deep Speech,Streetwise,Heroic Presence,Crystal Born
,Aarakocra,Large,Elvish,Athletics,The Human Spirit,Sunfire Elf
,Human,Gargantuan,Common,Insight,Every Man for Himself,Arcadian
,Air Genasi,Tiny,Primordial,Dungeoneering,The Human Spirit,Reaper Aasimar
,Stride,Large,Goblin,Diplomacy,Gift of the Naaru,Elemental Born
,Forest Gnome,Small,Giant,Religion,Explorer,Dragon Child
,Scourge Aasimar,Huge,Terran,Intimidate,Elusivness,Crystal Born
,Human,Large,Gnoll,Streetwise,Quickness,Winger Aasimar
,Human,Large,Gnomish,Arcana, Shadow Meld,Titanborn
,Variant,Medium,Auran,Bluff,Wisp Spirit,Sunfire Elf
,Firbolg,Medium,Gnoll,Endurance,The Human Spirit,Holy Elf
,Water Genasi,Small,Infernal,Diplomacy,Arcane Resistance,Firebeard Dwarf
,Elephantine,Medium,Druidic,Heal,Diplomacy,Reaper Aasimar
,Centaur,Small,Terran,Athletics,Quickness,Volcano Dwarf
,Shifter,Large,Sylvan,Athletics,Frost Resistance,Volcano Dwarf
,Ghastly Halfling,Huge,Sylvan,Streetwise,Nimble Fingers,Elemental Born
,Half-Elf,Small,Undercommon,Intimidate,Gem Cutting,Fey Heritage
,Half-Elf,Large,Halfling,Diplomacy,Every Man for Himself,Winger Aasimar
,Turtle,Medium,Gnomish,Streetwise,Draenei, Burly Halfling
,Lineage - Meph,Huge,Goblin,Intimidate,Frost Resistance,Crystal Born
,Dark Elf,Tiny,Common,Athletics,Diplomacy,Half-Celestial
