"Race_Name","BG_Name","class","Class_Name","subclass","Level","Proficiency","HP","skills","weapons","Spell_Name","Casting_Time","choices","C_Name","PI_ID","PI_Name","Armor_Class","Story","Job","Characteristics","Ability","Training","Eq_Name","Price","Usage","Size","Language","Abilities","Traits","Components","Duration","Speed"
"Half-Orc","Outlander","Barbarian 4","Barbarian","Path of the Berserker",4,"Sentinel",35,"Athletics|Animal Handling|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"agitated_hamilton",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout Halfling","Criminal","Rogue 4","Rogue","Scout",4,"Crossbow Expert",24,"Acrobatics|Sleight of Hand|Stealth|Investigation|Nature|Perception|Survival|Deception","Shortsword|Dagger|Crossbow, hand",NA,"Int","expertise/Thieves' Tools*Stealth","amazing_shtern",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Entertainer","Bard 4","Bard","College of Lore",4,"Lucky",24,"Acrobatics|Arcana|Investigation|Insight|Perception|Deception|Intimidation|Performance|Persuasion","Quarterstaff|Dagger","Vicious Mockery*0|Minor Illusion*0|Charm Person*1|Dissonant Whispers*1|Heroism*1|Tasha's Hideous Laughter*1|Shatter*2|Suggestion*2","Cha","expertise/Persuasion*Deception","suspicious_bardeen",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragonborn","Soldier","Paladin 4","Paladin","Oath of Ancients",4,"Shield Master",28,"Athletics|Religion|Intimidation|Persuasion","Warhammer|Javelin","Ensnaring Strike*1|Speak with Animals*1|Compelled Duel*1|Thunderous Smite*1|Shield Of Faith*1","Cha","fighting style/Defense","tender_hypatia",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Urchin","Fighter 4","Fighter","Battle Master",4,NA,26,"Athletics|Acrobatics|Investigation|Insight|Perception|Persuasion","Rapier|Target Pistol|Target Pistol|Club (Pistol Whip)|Grenade X3",NA,"Dex","combat superiority maneuvers/Precision Attack*Menacing Attack*Disarming Attack|fighting style/Archery","angry_hodgkin",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Acolyte","Monk 4","Monk","Way of the Drunken Master",4,NA,27,"Acrobatics|Stealth|Religion|Insight|Perception|Performance","Unarmed Strike|Quarterstaff|2h Quarterstaff|Dagger|Longbow",NA,"Int",NA,"silly_matsumoto",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lightfoot Halfling","Sage","Bard 12","Bard","College of Lore",12,"Lucky|Actor",108,"Acrobatics|Arcana|History|Perception|Deception|Intimidation|Performance|Persuasion","Rapier|Dagger",NA,"Cha","expertise/Perception*Deception","hopeful_johnson",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Sailor","Barbarian 5","Barbarian","Path of the Storm Herald",5,"Great Weapon Master|Alert",80,"Athletics|Perception|Survival|Intimidation","Tethered Anchor Flail|Handaxe|Whaling Spear",NA,"Int",NA,"sweet_wu",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lightfoot Halfling","Charlatan","Rogue 5","Rogue","Mastermind",5,NA,30,"Sleight of Hand|Insight|Perception|Deception|Intimidation|Persuasion","Shortsword|Shortbow|Dagger",NA,"Int","expertise/Persuasion*Intimidation","modest_noyce",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protector Aasimar","Acolyte","Warlock 5","Warlock","The Hexblade",5,NA,38,"Investigation|Religion|Insight|Deception|Intimidation|Persuasion","Pact Long Bow|Pact Longsword","Minor Illusion*0|Mage Hand*0|Elritch Blast*0|Eldritch Smite*2|Shield*3|Wraithful Smite*3|Blur*3|Branding Smite*3|Blink*3|Elemental Weapon*3|Hex*3|Witch Bolt*3|Unseen Servant <U+00AE>*3|Invisibility*3|Suggestion*3|Vampiric Touch*3","Cha","pact boon/Pact of the Blade|eldritch invocations/Improved Pact Weapon*Eldritch Smite*Thirsting Blade","optimistic_banach",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eladrin ToF","Charlatan","Rogue 7","Rogue","Assassin",7,NA,55,"Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation|Persuasion","Rapier|Shortbow|Dagger|Crossbow, Hand|Ice Tongue",NA,"Int","expertise/Stealth*Sleight of Hand*Perception*Intimidation","tender_kare",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Faction Agent","Fighter 4","Fighter","Battle Master",4,"Polearm Master|Sentinel",40,"Athletics|Acrobatics|History|Insight|Perception","Pike|Longsword|Handaxe",NA,"Int","fighting style/Great Weapon Fighting|combat superiority maneuvers/Trip Attack*Precision Attack*Commander<U+FFFD>s Strike","silly_grothendieck",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tabaxi","Noble","Monk 6","Monk","Way of the Open Hand",6,"Mobile",45,"Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Persuasion","Shortsword|Dart|Unarmed strike|Longsword",NA,"Wis",NA,"vibrant_northcutt",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minotaur","Courtier","Bard 3|Warlock 3","Bard|Warlock","College of Glamour|The Archfey",6,NA,45,"Sleight of Hand|Stealth|History|Insight|Deception|Performance|Persuasion","Club|Dagger|Shillelagh Flute","Message Bard*0|Vicious Mockery Bard*0|Toll The Dead Warlock*0|Friends Warlock *0|Druidcraft Tome*0|Guidance Tome *0|Shillelagh Tome *0|Bard Know 6 4L1 4slots*1|Dissonant Whispers *1|Heroism*1|Detect Magic*1|Comprehend Languages *1|Warlock Know 6 4L1 2L2*1|Charm Person*1|Hellish Rebuke *1|Protection From EvilandGood *1|Sleep *1|Bard Know 6 2L2 2 Slots*2|Crown Of Madness*2|Calm Emotions *2|Warlock 2 Slots Total*2|Hold Person*2|Suggestion *2","Cha","pact boon/Pact of the Tome|eldritch invocations/Beguiling Influence|expertise/Persuasion*Performance","distracted_mendel",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fire Genasi","Far Traveler","Sorcerer 4","Sorcerer","Wild Magic",4,NA,30,"Arcana|Insight|Perception|Intimidation","Crossbow, light|Dagger","Produce Flame*0|Control Flames*0|Create Bonfire *0|Fire Bolt *0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Cha","metamagic/Empowered Spell*Distant Spell","admiring_banach",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fire Genasi","Far Traveler","Sorcerer 4","Sorcerer","Wild Magic",4,NA,30,"Arcana|Insight|Perception|Intimidation","Crossbow, light|Dagger","Produce Flame*0|Control Flames*0|Create Bonfire *0|Fire Bolt *0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Cha","metamagic/Empowered Spell*Distant Spell","agitated_lumiere",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fire Genasi","Far Traveler","Sorcerer 4","Sorcerer","Wild Magic",4,NA,30,"Arcana|Insight|Perception|Intimidation","Crossbow, light|Dagger","Produce Flame*0|Control Flames*0|Create Bonfire *0|Fire Bolt *0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Cha","metamagic/Empowered Spell*Distant Spell","charming_wescoff",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fire Genasi","Far Traveler","Sorcerer 4","Sorcerer","Wild Magic",4,"Actor",30,"Arcana|Insight|Perception|Intimidation","Crossbow, light|Dagger","Produce Flame*0|Control Flames*0|Create Bonfire *0|Fire Bolt *0|Light*0|Burning Hands*1|Mage Armor*1|Color Spray*1","Cha","metamagic/Empowered Spell*Distant Spell","pensive_lichterman",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Guild Artisan","Rogue 8","Rogue","Assassin",8,"Alert",51,"Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion","Shortsword|Handaxe|Crossbow, hand|Dagger",NA,"Int","expertise/Stealth*Sleight of Hand*Persuasion*Deception","competent_lumiere",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scourge Aasimar","Charlatan","Wizard 21|Rogue 20|Monk 20|Warlock 20|Sorcerer 20|Ranger 20|Artificer 20|Paladin 20|Barbarian 20|Bard 20|Cleric 20|Druid 20|Fighter 20","Wizard|Rogue|Monk|Warlock|Sorcerer|Ranger|Artificer|Paladin|Barbarian|Bard|Cleric|Druid|Fighter","War Magic|Assassin|Way of Shadow|The Celestial|Storm Sorcery|Gloom Stalker|Battle Smith|Oath of Devotion|Path of the Zealot|College of Lore|Life Domain|Circle of the Moon|Battle Master",261,"Lucky|War Caster|Spell Sniper|Resilient|Ritual Caster|Alert|Sharpshooter|Defensive Duelist|Dual Wielder|Dungeon Delver|Skulker|Tough|Aberrant Dragonmark|Athlete|Magic Initiate|Mage Slayer|Mobile|Observant|Martial Adept|Weapon Master|Tavern Brawler|Keen Mind|Moderately Armored|Great Weapon Master|Skilled|Grappler|Durable|Elemental Adept|Mounted Combatant|Inspiring Leader|Sentinel|Shield Master|Savage Attacker|Polearm Master|Medium Armor Master|Linguist|Healer|Lightly Armored|Heavily Armored|Heavy Armor Master|Crossbow Expert|Charger|Actor",6894,"Athletics|Acrobatics|Sleight of Hand|Stealth|Arcana|Investigation|Nature|Religion|Animal Handling|Insight|Survival|Deception|Performance","Quarterstaff","Light*0|Sacred Flame*0|Disguise Self*1|Heroism*1|Shield*1|Protection from Evil and Good*1|Sanctuary*1|Bless*1|Cure Wounds*1|Rope Trick*2|Branding Smite*2|Warding Bond*2|Lesser Restoration*2|Zone of Truth*2|Lesser Restoration*2|Spiritual Weapon*2|Fear*3|Aura of Vitality*3|Conjure Barrage*3|Beacon of Hope*3|Dispel Magic*3|Beacon of Hope*3|Revivify*3|Greater Invisibility*4|Aura of Purity*4|Fire Shield*4|Freedom of Movement*4|Guardian of Faith*4|Death Ward*4|Guardian of Faith*4|Seeming*5|Banishing Smite*5|Mass Cure Wounds*5|Commune*5|Flame Strike*5|Mass Cure Wounds*5|Raise Dead*5","Int","fighting style/Two-Weapon Fighting*Protection*Archery|pact boon/Pact of the Blade|eldritch invocations/Devil's Sight*Trickster's Escape*Maddening Hex*Tomb of Levistus*Relentless Hex*Bewitching Whispers*Gift of the Depths*Master of Myriad Forms|metamagic/Subtle Spell*Distant Spell*Quickened Spell*Empowered Spell|expertise/Thieves' Tools*Stealth*Sleight of Hand*Deception*Investigation*Athletics*Performance*Acrobatics|combat superiority maneuvers/Parry*Disarming Attack*Riposte*Lunging Attack*Evasive Footwork*Trip Attack*Sweeping Attack*Rally*Precision Attack*Goading Attack*Feinting Attack","hardcore_benz",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mountain Dwarf","Criminal","Rogue 3","Rogue","Thief",3,NA,29,"Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Deception","Shortsword|Dagger|Crossbow, light",NA,"Int","expertise/Thieves' Tools*Stealth","modest_easley",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fallen Aasimar","Folk Hero","Barbarian 4","Barbarian","Path of the Zealot",4,"Great Weapon Master",41,"Athletics|Perception|Intimidation|Persuasion","Greatsword|Handaxe|Javelin",NA,"Int",NA,"inspiring_brahmagupta",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human 1 inspo","Folk Hero","Paladin 8","Paladin","Oath of Conquest",8,"Polearm Master|Great Weapon Master|Sentinel",112,"Athletics|Acrobatics|Animal Handling|Medicine|Survival|Intimidation","Whip|Halberd, reroll 1/2|Polearm Master|GWM, Sentinel|Bitchslap Gauntlet","Wrathful Smite*1|Command*1|Armor of Agathys*1|Shield Of Faith*1|Bless*1|Hold Person*2|Spiritual Weapon*2|Find Steed*2|Magic Weapon*2","Cha","fighting style/Great Weapon Fighting","gracious_kilby",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Folk Hero","Fighter 6|Wizard 1","Fighter|Wizard","Battle Master|",7,"Shield Master|Heavy Armor Master|Athlete",89,"Athletics|History|Animal Handling|Insight|Survival","Longsword|Handaxe|Handaxe","Green Flame Blade*0|Mending*0|Prestidigitation*0","Int","combat superiority maneuvers/Riposte*Precision Attack*Parry|fighting style/Dueling","sad_thompson",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Urchin","Warlock 5","Warlock","The Great Old One",5,"Actor",35,"Sleight of Hand|Stealth|Arcana|Investigation|Deception|Persuasion","Crossbow, light|Dagger",NA,"Cha","pact boon/Pact of the Chain|eldritch invocations/Mask of Many Faces*Eyes of the Rune Keeper*One with Shadows","crazy_hodgkin",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rock Gnome","Sage","Wizard 20","Wizard","School of Illusion",20,"Tough|Mage Slayer|War Caster",182,"Arcana|History|Investigation|Insight|Perception|Deception","Quarterstaff|Ray Of Frost","Presdidigitation*0|Mage Hand*0|Minor Illusion*0|Message*0|Ray Of Frost*0|Magic Missle*1|Shield*1|Sleep*1|Mage Armor*1|Illusory Script *1|Comprehend Languages *1|Identify *1|Detect Magic*1|Disguise Self*1|Expeditious Retreat *1|Feather Fall *1|Invisibility *2|Misty Step*2|Web*2|Spider Climb*2|Hold Person *2|Ray Of Enfeeblement*2|Fireball*3|Hypnotic Pattern*3|Major Image*3|Enemies Abound*3|Leomunds Tiny Hut*3|Counterspell*3|Lightning Bolt *3|Tongues *3|Sending *3|Outilukes Resilient Sphere*4|Polymorph*4|Dimension Door*4|Confusion*4|Phantasmal Killer*4|Animate Objects*5|Dominate Person*5|Legend Lore *5|Seeming *5|Modify Memory *5|Wall Of Force *5|Passwall*5|Hold Monster *5|Programmed Illusion *6|Mass Suggestion *6|Chain Lightning *6|Disintegrate *6|Plane Shift *7|Forcecage *7|Prismatic Spray*7|Dominate Monster *8|Antimagic Field *8|Feeblemind *8|Weird*9|Meteor Swarm *9","Int",NA,"fervent_hodgkin",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protector Aasimar","Archaeologist","Warlock 4","Warlock","The Fiend",4,NA,31,"History|Investigation|Survival|Intimidation","Crossbow, light|Dagger",NA,"Cha","pact boon/Pact of the Tome|eldritch invocations/Agonizing Blast*Book of Ancient Secrets","hardcore_hertz",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protector Aasimar","Archaeologist","Warlock 4","Warlock","The Fiend",4,NA,31,"History|Investigation|Survival|Intimidation","Crossbow, light|Dagger",NA,"Cha","pact boon/Pact of the Tome|eldritch invocations/Agonizing Blast*Book of Ancient Secrets","hardcore_hertz",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lightfoot Halfling","Soldier","Fighter 1|Bard 4","Fighter|Bard","|College of Lore",5,"Tavern Brawler",40,"Athletics|Acrobatics|Insight|Perception|Survival|Intimidation|Performance|Persuasion","Battleaxe|Handaxe|Unarmed strike","Thunderwave*0|Vicious Mockery*0|Light*0|Bane <U+00A9>*1|Earth Tremor*1|Longstrider*1|Dissonant Whispers*1|Enhance Ability <U+00A9>*2|Silence <U+00A9>*2|Zone Of Truth*2","Cha","fighting style/Defense|expertise/Intimidation*Athletics","condescending_mendel",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Dark Elf","Baby","Sorcerer 2","Sorcerer","Wild Magic",2,NA,9,"Insight|Deception|Intimidation|Persuasion","Unarmed Strike","Friends*0|Light*0|Minor Illusion*0|Prestidigitation*0|Dancing Lights*0|Shield*1|Sleep*1|Chaos Bolt*1","Cha",NA,"naughty_morse",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
